training_exp,epoch,training_accuracy,val_accuracy,training_loss,val_loss
0,0,0.1744,0,0,0
0,1,0.3079,0,0,0
0,2,0.4114,0,0,0
0,3,0.4882,0,0,0
0,4,0.5457,0,0,0
0,5,0.5917,0,0,0
0,6,0.6250,0,0,0
0,7,0.6538,0,0,0
0,8,0.6799,0,0,0
0,9,0.6983,0,0,0
0,10,0.7192,0,0,0
0,11,0.7323,0,0,0
0,12,0.7498,0,0,0
0,13,0.7600,0,0,0
0,14,0.7711,0,0,0
0,15,0.7771,0,0,0
0,16,0.7893,0,0,0
0,17,0.7969,0,0,0
0,18,0.8023,0,0,0
0,19,0.8083,0,0,0
1,0,0.3522,0,0,0
1,1,0.5676,0,0,0
1,2,0.6409,0,0,0
1,3,0.6829,0,0,0
1,4,0.7117,0,0,0
1,5,0.7314,0,0,0
1,6,0.7497,0,0,0
1,7,0.7620,0,0,0
1,8,0.7716,0,0,0
1,9,0.7834,0,0,0
1,10,0.7930,0,0,0
1,11,0.8006,0,0,0
1,12,0.8041,0,0,0
1,13,0.8132,0,0,0
1,14,0.8170,0,0,0
1,15,0.8234,0,0,0
1,16,0.8257,0,0,0
1,17,0.8327,0,0,0
1,18,0.8362,0,0,0
1,19,0.8372,0,0,0
2,0,0.4138,0,0,0
2,1,0.6054,0,0,0
2,2,0.6751,0,0,0
2,3,0.7147,0,0,0
2,4,0.7389,0,0,0
2,5,0.7582,0,0,0
2,6,0.7719,0,0,0
2,7,0.7830,0,0,0
2,8,0.7913,0,0,0
2,9,0.8004,0,0,0
2,10,0.8091,0,0,0
2,11,0.8146,0,0,0
2,12,0.8173,0,0,0
2,13,0.8238,0,0,0
2,14,0.8299,0,0,0
2,15,0.8341,0,0,0
2,16,0.8391,0,0,0
2,17,0.8427,0,0,0
2,18,0.8451,0,0,0
2,19,0.8494,0,0,0
3,0,0.3429,0,0,0
3,1,0.5484,0,0,0
3,2,0.6384,0,0,0
3,3,0.6875,0,0,0
3,4,0.7188,0,0,0
3,5,0.7436,0,0,0
3,6,0.7584,0,0,0
3,7,0.7730,0,0,0
3,8,0.7856,0,0,0
3,9,0.7941,0,0,0
3,10,0.8014,0,0,0
3,11,0.8094,0,0,0
3,12,0.8154,0,0,0
3,13,0.8228,0,0,0
3,14,0.8266,0,0,0
3,15,0.8314,0,0,0
3,16,0.8382,0,0,0
3,17,0.8406,0,0,0
3,18,0.8438,0,0,0
3,19,0.8476,0,0,0
4,0,0.3577,0,0,0
4,1,0.5645,0,0,0
4,2,0.6374,0,0,0
4,3,0.6804,0,0,0
4,4,0.7144,0,0,0
4,5,0.7369,0,0,0
4,6,0.7558,0,0,0
4,7,0.7722,0,0,0
4,8,0.7810,0,0,0
4,9,0.7931,0,0,0
4,10,0.8001,0,0,0
4,11,0.8079,0,0,0
4,12,0.8149,0,0,0
4,13,0.8214,0,0,0
4,14,0.8258,0,0,0
4,15,0.8315,0,0,0
4,16,0.8348,0,0,0
4,17,0.8407,0,0,0
4,18,0.8433,0,0,0
4,19,0.8450,0,0,0
5,0,0.3483,0,0,0
5,1,0.5444,0,0,0
5,2,0.6203,0,0,0
5,3,0.6686,0,0,0
5,4,0.7049,0,0,0
5,5,0.7275,0,0,0
5,6,0.7463,0,0,0
5,7,0.7632,0,0,0
5,8,0.7757,0,0,0
5,9,0.7848,0,0,0
5,10,0.7947,0,0,0
5,11,0.7999,0,0,0
5,12,0.8098,0,0,0
5,13,0.8158,0,0,0
5,14,0.8212,0,0,0
5,15,0.8257,0,0,0
5,16,0.8318,0,0,0
5,17,0.8342,0,0,0
5,18,0.8383,0,0,0
5,19,0.8438,0,0,0
6,0,0.3481,0,0,0
6,1,0.5499,0,0,0
6,2,0.6255,0,0,0
6,3,0.6710,0,0,0
6,4,0.7028,0,0,0
6,5,0.7276,0,0,0
6,6,0.7438,0,0,0
6,7,0.7606,0,0,0
6,8,0.7733,0,0,0
6,9,0.7851,0,0,0
6,10,0.7951,0,0,0
6,11,0.8036,0,0,0
6,12,0.8120,0,0,0
6,13,0.8166,0,0,0
6,14,0.8234,0,0,0
6,15,0.8283,0,0,0
6,16,0.8343,0,0,0
6,17,0.8373,0,0,0
6,18,0.8429,0,0,0
6,19,0.8448,0,0,0
7,0,0.2943,0,0,0
7,1,0.4889,0,0,0
7,2,0.5828,0,0,0
7,3,0.6390,0,0,0
7,4,0.6798,0,0,0
7,5,0.7059,0,0,0
7,6,0.7306,0,0,0
7,7,0.7488,0,0,0
7,8,0.7658,0,0,0
