training_exp,epoch,training_accuracy,val_accuracy,training_loss,val_loss
0,0,0.0076,0,0,0
0,1,0.0143,0,0,0
0,2,0.0240,0,0,0
0,3,0.0427,0,0,0
0,4,0.0695,0,0,0
0,5,0.1192,0,0,0
0,6,0.1749,0,0,0
0,7,0.2360,0,0,0
0,8,0.2987,0,0,0
0,9,0.3667,0,0,0
0,10,0.4234,0,0,0
0,11,0.4515,0,0,0
0,12,0.4908,0,0,0
0,13,0.5083,0,0,0
0,14,0.5148,0,0,0
0,15,0.5309,0,0,0
0,16,0.5342,0,0,0
0,17,0.5368,0,0,0
0,18,0.5430,0,0,0
0,19,0.5483,0,0,0
1,0,0.0004,0,0,0
1,1,0.0012,0,0,0
1,2,0.0027,0,0,0
1,3,0.0053,0,0,0
1,4,0.0106,0,0,0
1,5,0.0175,0,0,0
1,6,0.0305,0,0,0
1,7,0.0481,0,0,0
1,8,0.0794,0,0,0
1,9,0.1197,0,0,0
1,10,0.1714,0,0,0
1,11,0.2288,0,0,0
1,12,0.2960,0,0,0
1,13,0.3630,0,0,0
1,14,0.4326,0,0,0
1,15,0.4934,0,0,0
1,16,0.5496,0,0,0
1,17,0.6094,0,0,0
1,18,0.6388,0,0,0
1,19,0.6643,0,0,0
2,0,0.0000,0,0,0
2,1,0.0001,0,0,0
2,2,0.0013,0,0,0
2,3,0.0021,0,0,0
2,4,0.0047,0,0,0
2,5,0.0101,0,0,0
2,6,0.0182,0,0,0
2,7,0.0294,0,0,0
2,8,0.0494,0,0,0
2,9,0.0838,0,0,0
2,10,0.1208,0,0,0
2,11,0.1722,0,0,0
2,12,0.2288,0,0,0
2,13,0.2968,0,0,0
2,14,0.3578,0,0,0
2,15,0.4209,0,0,0
2,16,0.4703,0,0,0
2,17,0.5245,0,0,0
2,18,0.5648,0,0,0
2,19,0.6062,0,0,0
3,0,0.0003,0,0,0
3,1,0.0004,0,0,0
3,2,0.0005,0,0,0
3,3,0.0017,0,0,0
3,4,0.0027,0,0,0
3,5,0.0045,0,0,0
3,6,0.0082,0,0,0
3,7,0.0138,0,0,0
3,8,0.0181,0,0,0
3,9,0.0293,0,0,0
3,10,0.0418,0,0,0
3,11,0.0580,0,0,0
3,12,0.0779,0,0,0
3,13,0.1047,0,0,0
3,14,0.1411,0,0,0
3,15,0.1813,0,0,0
3,16,0.2249,0,0,0
3,17,0.2720,0,0,0
3,18,0.3203,0,0,0
3,19,0.3773,0,0,0
4,0,0.0000,0,0,0
4,1,0.0000,0,0,0
4,2,0.0001,0,0,0
4,3,0.0003,0,0,0
4,4,0.0008,0,0,0
4,5,0.0017,0,0,0
4,6,0.0017,0,0,0
4,7,0.0038,0,0,0
4,8,0.0060,0,0,0
4,9,0.0100,0,0,0
4,10,0.0137,0,0,0
4,11,0.0214,0,0,0
4,12,0.0314,0,0,0
4,13,0.0429,0,0,0
4,14,0.0622,0,0,0
4,15,0.0853,0,0,0
4,16,0.1070,0,0,0
4,17,0.1353,0,0,0
4,18,0.1726,0,0,0
4,19,0.2176,0,0,0
