training_exp,epoch,training_accuracy,val_accuracy,training_loss,val_loss
0,0,0.0207,0,0,0
0,1,0.0261,0,0,0
0,2,0.0377,0,0,0
0,3,0.0489,0,0,0
0,4,0.0620,0,0,0
0,5,0.0953,0,0,0
0,6,0.1167,0,0,0
0,7,0.1423,0,0,0
0,8,0.1809,0,0,0
0,9,0.2144,0,0,0
0,10,0.2614,0,0,0
0,11,0.3086,0,0,0
0,12,0.3336,0,0,0
0,13,0.3845,0,0,0
0,14,0.4455,0,0,0
0,15,0.4729,0,0,0
0,16,0.5080,0,0,0
0,17,0.5413,0,0,0
0,18,0.5821,0,0,0
0,19,0.6113,0,0,0
1,0,0.0263,0,0,0
1,1,0.0468,0,0,0
1,2,0.0871,0,0,0
1,3,0.1162,0,0,0
1,4,0.1735,0,0,0
1,5,0.2208,0,0,0
1,6,0.2913,0,0,0
1,7,0.3395,0,0,0
1,8,0.4047,0,0,0
1,9,0.4741,0,0,0
1,10,0.5504,0,0,0
1,11,0.6118,0,0,0
1,12,0.6635,0,0,0
1,13,0.7190,0,0,0
1,14,0.7518,0,0,0
1,15,0.7849,0,0,0
1,16,0.8293,0,0,0
1,17,0.8515,0,0,0
1,18,0.8864,0,0,0
1,19,0.8899,0,0,0
2,0,0.0019,0,0,0
2,1,0.0041,0,0,0
2,2,0.0075,0,0,0
2,3,0.0128,0,0,0
2,4,0.0215,0,0,0
2,5,0.0299,0,0,0
2,6,0.0427,0,0,0
2,7,0.0643,0,0,0
2,8,0.0839,0,0,0
2,9,0.1089,0,0,0
2,10,0.1401,0,0,0
2,11,0.1719,0,0,0
2,12,0.2267,0,0,0
2,13,0.2704,0,0,0
2,14,0.2893,0,0,0
2,15,0.3485,0,0,0
2,16,0.3756,0,0,0
2,17,0.4387,0,0,0
2,18,0.4660,0,0,0
2,19,0.5029,0,0,0
3,0,0.0014,0,0,0
3,1,0.0015,0,0,0
3,2,0.0044,0,0,0
3,3,0.0084,0,0,0
3,4,0.0127,0,0,0
3,5,0.0175,0,0,0
3,6,0.0270,0,0,0
3,7,0.0457,0,0,0
3,8,0.0598,0,0,0
3,9,0.0845,0,0,0
3,10,0.1193,0,0,0
3,11,0.1290,0,0,0
3,12,0.1721,0,0,0
3,13,0.2002,0,0,0
3,14,0.2507,0,0,0
3,15,0.2998,0,0,0
3,16,0.3316,0,0,0
3,17,0.3679,0,0,0
3,18,0.4134,0,0,0
3,19,0.4414,0,0,0
4,0,0.0003,0,0,0
4,1,0.0003,0,0,0
4,2,0.0008,0,0,0
4,3,0.0015,0,0,0
4,4,0.0029,0,0,0
4,5,0.0054,0,0,0
4,6,0.0103,0,0,0
4,7,0.0133,0,0,0
4,8,0.0262,0,0,0
4,9,0.0338,0,0,0
4,10,0.0475,0,0,0
4,11,0.0680,0,0,0
4,12,0.0887,0,0,0
4,13,0.1214,0,0,0
4,14,0.1472,0,0,0
4,15,0.1746,0,0,0
4,16,0.2282,0,0,0
4,17,0.2711,0,0,0
4,18,0.3043,0,0,0
4,19,0.3542,0,0,0
