training_exp,epoch,training_accuracy,val_accuracy,training_loss,val_loss
0,0,0.3104,0,0,0
0,1,0.5927,0,0,0
0,2,0.6978,0,0,0
0,3,0.7460,0,0,0
0,4,0.7738,0,0,0
0,5,0.7956,0,0,0
0,6,0.8103,0,0,0
0,7,0.8252,0,0,0
0,8,0.8318,0,0,0
0,9,0.8392,0,0,0
0,10,0.8491,0,0,0
0,11,0.8533,0,0,0
0,12,0.8564,0,0,0
0,13,0.8616,0,0,0
0,14,0.8641,0,0,0
0,15,0.8666,0,0,0
0,16,0.8711,0,0,0
0,17,0.8742,0,0,0
0,18,0.8769,0,0,0
0,19,0.8771,0,0,0
0,20,0.8822,0,0,0
0,21,0.8839,0,0,0
0,22,0.8851,0,0,0
0,23,0.8859,0,0,0
0,24,0.8899,0,0,0
0,25,0.8902,0,0,0
0,26,0.8931,0,0,0
0,27,0.8944,0,0,0
0,28,0.8933,0,0,0
0,29,0.8965,0,0,0
1,0,0.5930,0,0,0
1,1,0.7648,0,0,0
1,2,0.8034,0,0,0
1,3,0.8243,0,0,0
1,4,0.8391,0,0,0
1,5,0.8481,0,0,0
1,6,0.8561,0,0,0
1,7,0.8613,0,0,0
1,8,0.8649,0,0,0
1,9,0.8691,0,0,0
1,10,0.8737,0,0,0
1,11,0.8773,0,0,0
1,12,0.8782,0,0,0
1,13,0.8827,0,0,0
1,14,0.8839,0,0,0
1,15,0.8871,0,0,0
1,16,0.8878,0,0,0
1,17,0.8905,0,0,0
1,18,0.8903,0,0,0
1,19,0.8929,0,0,0
1,20,0.8950,0,0,0
1,21,0.8966,0,0,0
1,22,0.8974,0,0,0
1,23,0.9002,0,0,0
1,24,0.8987,0,0,0
1,25,0.9012,0,0,0
1,26,0.9020,0,0,0
1,27,0.9040,0,0,0
1,28,0.9043,0,0,0
1,29,0.9034,0,0,0
2,0,0.5343,0,0,0
2,1,0.7579,0,0,0
2,2,0.8030,0,0,0
2,3,0.8268,0,0,0
2,4,0.8397,0,0,0
2,5,0.8493,0,0,0
2,6,0.8584,0,0,0
2,7,0.8633,0,0,0
2,8,0.8666,0,0,0
2,9,0.8730,0,0,0
2,10,0.8769,0,0,0
2,11,0.8784,0,0,0
2,12,0.8819,0,0,0
2,13,0.8826,0,0,0
2,14,0.8856,0,0,0
2,15,0.8875,0,0,0
2,16,0.8882,0,0,0
2,17,0.8903,0,0,0
2,18,0.8914,0,0,0
2,19,0.8946,0,0,0
2,20,0.8953,0,0,0
2,21,0.8967,0,0,0
2,22,0.8976,0,0,0
2,23,0.8990,0,0,0
2,24,0.9008,0,0,0
2,25,0.9003,0,0,0
2,26,0.9022,0,0,0
2,27,0.9021,0,0,0
2,28,0.9044,0,0,0
2,29,0.9052,0,0,0
3,0,0.5472,0,0,0
3,1,0.7460,0,0,0
3,2,0.7958,0,0,0
3,3,0.8200,0,0,0
3,4,0.8353,0,0,0
3,5,0.8450,0,0,0
3,6,0.8537,0,0,0
3,7,0.8607,0,0,0
3,8,0.8666,0,0,0
3,9,0.8697,0,0,0
3,10,0.8712,0,0,0
3,11,0.8755,0,0,0
3,12,0.8808,0,0,0
3,13,0.8830,0,0,0
3,14,0.8842,0,0,0
3,15,0.8862,0,0,0
3,16,0.8884,0,0,0
3,17,0.8897,0,0,0
3,18,0.8925,0,0,0
3,19,0.8949,0,0,0
3,20,0.8962,0,0,0
3,21,0.8971,0,0,0
3,22,0.8984,0,0,0
3,23,0.9009,0,0,0
3,24,0.9002,0,0,0
3,25,0.9000,0,0,0
3,26,0.9030,0,0,0
3,27,0.9049,0,0,0
3,28,0.9043,0,0,0
3,29,0.9072,0,0,0
4,0,0.4916,0,0,0
4,1,0.7151,0,0,0
4,2,0.7746,0,0,0
4,3,0.8042,0,0,0
4,4,0.8236,0,0,0
4,5,0.8357,0,0,0
4,6,0.8460,0,0,0
4,7,0.8527,0,0,0
