training_exp,epoch,training_accuracy,val_accuracy,training_loss,val_loss
0,0,0.1534,0,0,0
0,1,0.3687,0,0,0
0,2,0.5010,0,0,0
0,3,0.5148,0,0,0
0,4,0.5188,0,0,0
0,5,0.5112,0,0,0
0,6,0.5088,0,0,0
0,7,0.5108,0,0,0
0,8,0.5093,0,0,0
0,9,0.5089,0,0,0
0,10,0.5138,0,0,0
0,11,0.5081,0,0,0
0,12,0.5174,0,0,0
0,13,0.5187,0,0,0
0,14,0.5286,0,0,0
0,15,0.5177,0,0,0
0,16,0.5263,0,0,0
0,17,0.5221,0,0,0
0,18,0.5278,0,0,0
0,19,0.5198,0,0,0
1,0,0.0000,0,0,0
1,1,0.0000,0,0,0
1,2,0.0147,0,0,0
1,3,0.2435,0,0,0
1,4,0.4816,0,0,0
1,5,0.5013,0,0,0
1,6,0.5098,0,0,0
1,7,0.5232,0,0,0
1,8,0.5651,0,0,0
1,9,0.5989,0,0,0
1,10,0.6085,0,0,0
1,11,0.6450,0,0,0
1,12,0.6707,0,0,0
1,13,0.6872,0,0,0
1,14,0.7045,0,0,0
1,15,0.7390,0,0,0
1,16,0.7516,0,0,0
1,17,0.7809,0,0,0
1,18,0.7926,0,0,0
1,19,0.8137,0,0,0
2,0,0.0000,0,0,0
2,1,0.0000,0,0,0
2,2,0.0000,0,0,0
2,3,0.0000,0,0,0
2,4,0.0000,0,0,0
2,5,0.0010,0,0,0
2,6,0.0396,0,0,0
2,7,0.2413,0,0,0
2,8,0.4627,0,0,0
2,9,0.5298,0,0,0
2,10,0.5360,0,0,0
2,11,0.5600,0,0,0
2,12,0.6159,0,0,0
2,13,0.6727,0,0,0
2,14,0.7221,0,0,0
2,15,0.7541,0,0,0
2,16,0.7850,0,0,0
2,17,0.8117,0,0,0
2,18,0.8510,0,0,0
2,19,0.8662,0,0,0
3,0,0.0000,0,0,0
3,1,0.0000,0,0,0
3,2,0.0000,0,0,0
3,3,0.0088,0,0,0
3,4,0.1642,0,0,0
3,5,0.5288,0,0,0
3,6,0.6624,0,0,0
3,7,0.7137,0,0,0
3,8,0.7532,0,0,0
3,9,0.7755,0,0,0
3,10,0.8033,0,0,0
3,11,0.8205,0,0,0
3,12,0.8462,0,0,0
3,13,0.8590,0,0,0
3,14,0.8743,0,0,0
3,15,0.8888,0,0,0
3,16,0.8992,0,0,0
3,17,0.9077,0,0,0
3,18,0.9097,0,0,0
3,19,0.9192,0,0,0
4,0,0.0000,0,0,0
4,1,0.0000,0,0,0
4,2,0.0000,0,0,0
4,3,0.0000,0,0,0
4,4,0.0000,0,0,0
4,5,0.0000,0,0,0
4,6,0.0046,0,0,0
4,7,0.0466,0,0,0
4,8,0.1862,0,0,0
4,9,0.3777,0,0,0
4,10,0.4747,0,0,0
4,11,0.4997,0,0,0
4,12,0.5020,0,0,0
4,13,0.4960,0,0,0
4,14,0.5038,0,0,0
4,15,0.4991,0,0,0
4,16,0.4961,0,0,0
4,17,0.4989,0,0,0
4,18,0.5034,0,0,0
4,19,0.5020,0,0,0
