training_exp,epoch,training_accuracy,val_accuracy,training_loss,val_loss
0,0,0.3431,0,0,0
0,1,0.5962,0,0,0
0,2,0.7073,0,0,0
0,3,0.7618,0,0,0
0,4,0.7947,0,0,0
0,5,0.8170,0,0,0
0,6,0.8283,0,0,0
0,7,0.8402,0,0,0
0,8,0.8493,0,0,0
0,9,0.8568,0,0,0
0,10,0.8625,0,0,0
0,11,0.8680,0,0,0
0,12,0.8713,0,0,0
0,13,0.8750,0,0,0
0,14,0.8779,0,0,0
0,15,0.8818,0,0,0
0,16,0.8858,0,0,0
0,17,0.8881,0,0,0
0,18,0.8890,0,0,0
0,19,0.8925,0,0,0
0,20,0.8949,0,0,0
0,21,0.8986,0,0,0
0,22,0.9001,0,0,0
0,23,0.9005,0,0,0
0,24,0.9028,0,0,0
0,25,0.9040,0,0,0
0,26,0.9070,0,0,0
0,27,0.9090,0,0,0
0,28,0.9091,0,0,0
0,29,0.9115,0,0,0
1,0,0.6788,0,0,0
1,1,0.8190,0,0,0
1,2,0.8478,0,0,0
1,3,0.8607,0,0,0
1,4,0.8725,0,0,0
1,5,0.8799,0,0,0
1,6,0.8856,0,0,0
1,7,0.8902,0,0,0
1,8,0.8931,0,0,0
1,9,0.8964,0,0,0
1,10,0.9004,0,0,0
1,11,0.9018,0,0,0
1,12,0.9052,0,0,0
1,13,0.9067,0,0,0
1,14,0.9083,0,0,0
1,15,0.9103,0,0,0
1,16,0.9124,0,0,0
1,17,0.9132,0,0,0
1,18,0.9149,0,0,0
1,19,0.9155,0,0,0
1,20,0.9179,0,0,0
1,21,0.9184,0,0,0
1,22,0.9198,0,0,0
1,23,0.9203,0,0,0
1,24,0.9196,0,0,0
1,25,0.9219,0,0,0
1,26,0.9228,0,0,0
1,27,0.9250,0,0,0
1,28,0.9253,0,0,0
1,29,0.9269,0,0,0
2,0,0.7058,0,0,0
2,1,0.8367,0,0,0
2,2,0.8601,0,0,0
2,3,0.8751,0,0,0
2,4,0.8824,0,0,0
2,5,0.8897,0,0,0
2,6,0.8946,0,0,0
2,7,0.9001,0,0,0
2,8,0.9028,0,0,0
2,9,0.9075,0,0,0
2,10,0.9087,0,0,0
2,11,0.9103,0,0,0
2,12,0.9110,0,0,0
2,13,0.9156,0,0,0
2,14,0.9165,0,0,0
2,15,0.9174,0,0,0
2,16,0.9187,0,0,0
2,17,0.9222,0,0,0
2,18,0.9208,0,0,0
2,19,0.9214,0,0,0
2,20,0.9237,0,0,0
2,21,0.9236,0,0,0
2,22,0.9255,0,0,0
2,23,0.9253,0,0,0
2,24,0.9274,0,0,0
2,25,0.9274,0,0,0
2,26,0.9279,0,0,0
2,27,0.9294,0,0,0
2,28,0.9303,0,0,0
2,29,0.9302,0,0,0
3,0,0.7129,0,0,0
3,1,0.8380,0,0,0
3,2,0.8619,0,0,0
3,3,0.8796,0,0,0
3,4,0.8882,0,0,0
3,5,0.8932,0,0,0
3,6,0.8998,0,0,0
3,7,0.9024,0,0,0
3,8,0.9073,0,0,0
3,9,0.9085,0,0,0
3,10,0.9126,0,0,0
3,11,0.9129,0,0,0
3,12,0.9147,0,0,0
3,13,0.9179,0,0,0
3,14,0.9196,0,0,0
3,15,0.9204,0,0,0
3,16,0.9227,0,0,0
3,17,0.9230,0,0,0
3,18,0.9247,0,0,0
3,19,0.9250,0,0,0
3,20,0.9273,0,0,0
3,21,0.9278,0,0,0
3,22,0.9271,0,0,0
3,23,0.9288,0,0,0
3,24,0.9301,0,0,0
3,25,0.9283,0,0,0
3,26,0.9305,0,0,0
3,27,0.9318,0,0,0
3,28,0.9314,0,0,0
3,29,0.9330,0,0,0
4,0,0.7086,0,0,0
4,1,0.8367,0,0,0
4,2,0.8655,0,0,0
4,3,0.8786,0,0,0
4,4,0.8883,0,0,0
4,5,0.8928,0,0,0
4,6,0.8989,0,0,0
4,7,0.9036,0,0,0
4,8,0.9045,0,0,0
4,9,0.9094,0,0,0
4,10,0.9107,0,0,0
4,11,0.9117,0,0,0
4,12,0.9156,0,0,0
4,13,0.9167,0,0,0
4,14,0.9185,0,0,0
4,15,0.9211,0,0,0
4,16,0.9209,0,0,0
4,17,0.9229,0,0,0
4,18,0.9235,0,0,0
4,19,0.9249,0,0,0
4,20,0.9252,0,0,0
4,21,0.9260,0,0,0
4,22,0.9269,0,0,0
4,23,0.9270,0,0,0
4,24,0.9285,0,0,0
4,25,0.9297,0,0,0
4,26,0.9304,0,0,0
4,27,0.9296,0,0,0
4,28,0.9311,0,0,0
4,29,0.9325,0,0,0
5,0,0.6906,0,0,0
5,1,0.8291,0,0,0
5,2,0.8557,0,0,0
5,3,0.8711,0,0,0
5,4,0.8810,0,0,0
5,5,0.8878,0,0,0
5,6,0.8930,0,0,0
5,7,0.8984,0,0,0
5,8,0.9010,0,0,0
5,9,0.9047,0,0,0
5,10,0.9059,0,0,0
5,11,0.9096,0,0,0
5,12,0.9117,0,0,0
5,13,0.9144,0,0,0
5,14,0.9147,0,0,0
5,15,0.9174,0,0,0
5,16,0.9207,0,0,0
5,17,0.9207,0,0,0
5,18,0.9234,0,0,0
5,19,0.9233,0,0,0
5,20,0.9240,0,0,0
5,21,0.9258,0,0,0
5,22,0.9264,0,0,0
5,23,0.9277,0,0,0
5,24,0.9285,0,0,0
5,25,0.9285,0,0,0
5,26,0.9285,0,0,0
5,27,0.9295,0,0,0
5,28,0.9313,0,0,0
5,29,0.9300,0,0,0
6,0,0.7042,0,0,0
6,1,0.8379,0,0,0
6,2,0.8648,0,0,0
6,3,0.8804,0,0,0
6,4,0.8887,0,0,0
6,5,0.8944,0,0,0
6,6,0.9009,0,0,0
6,7,0.9035,0,0,0
6,8,0.9089,0,0,0
6,9,0.9114,0,0,0
6,10,0.9120,0,0,0
6,11,0.9140,0,0,0
6,12,0.9170,0,0,0
6,13,0.9192,0,0,0
6,14,0.9204,0,0,0
6,15,0.9208,0,0,0
6,16,0.9237,0,0,0
6,17,0.9238,0,0,0
6,18,0.9251,0,0,0
6,19,0.9268,0,0,0
6,20,0.9284,0,0,0
6,21,0.9309,0,0,0
6,22,0.9293,0,0,0
6,23,0.9291,0,0,0
6,24,0.9296,0,0,0
6,25,0.9303,0,0,0
6,26,0.9330,0,0,0
6,27,0.9334,0,0,0
6,28,0.9332,0,0,0
6,29,0.9336,0,0,0
7,0,0.6931,0,0,0
7,1,0.8285,0,0,0
7,2,0.8538,0,0,0
7,3,0.8703,0,0,0
7,4,0.8780,0,0,0
7,5,0.8864,0,0,0
7,6,0.8934,0,0,0
7,7,0.8969,0,0,0
7,8,0.9007,0,0,0
7,9,0.9025,0,0,0
7,10,0.9067,0,0,0
7,11,0.9099,0,0,0
7,12,0.9104,0,0,0
7,13,0.9134,0,0,0
7,14,0.9153,0,0,0
7,15,0.9164,0,0,0
7,16,0.9187,0,0,0
7,17,0.9207,0,0,0
7,18,0.9229,0,0,0
7,19,0.9221,0,0,0
7,20,0.9233,0,0,0
7,21,0.9256,0,0,0
7,22,0.9250,0,0,0
7,23,0.9260,0,0,0
7,24,0.9285,0,0,0
7,25,0.9276,0,0,0
7,26,0.9277,0,0,0
7,27,0.9296,0,0,0
7,28,0.9297,0,0,0
7,29,0.9303,0,0,0
8,0,0.7284,0,0,0
8,1,0.8489,0,0,0
8,2,0.8727,0,0,0
8,3,0.8857,0,0,0
8,4,0.8927,0,0,0
8,5,0.9001,0,0,0
8,6,0.9046,0,0,0
8,7,0.9112,0,0,0
8,8,0.9139,0,0,0
8,9,0.9159,0,0,0
8,10,0.9182,0,0,0
8,11,0.9207,0,0,0
8,12,0.9213,0,0,0
8,13,0.9216,0,0,0
8,14,0.9237,0,0,0
8,15,0.9277,0,0,0
8,16,0.9290,0,0,0
8,17,0.9285,0,0,0
8,18,0.9305,0,0,0
8,19,0.9317,0,0,0
8,20,0.9315,0,0,0
8,21,0.9329,0,0,0
8,22,0.9325,0,0,0
8,23,0.9347,0,0,0
8,24,0.9359,0,0,0
8,25,0.9365,0,0,0
8,26,0.9355,0,0,0
8,27,0.9376,0,0,0
8,28,0.9368,0,0,0
8,29,0.9389,0,0,0
9,0,0.7027,0,0,0
9,1,0.8366,0,0,0
