training_exp,epoch,training_accuracy,val_accuracy,training_loss,val_loss
0,0,0.4964,0,0,0
0,1,0.5381,0,0,0
0,2,0.6485,0,0,0
0,3,0.7335,0,0,0
0,4,0.8218,0,0,0
0,5,0.8685,0,0,0
0,6,0.8920,0,0,0
0,7,0.9093,0,0,0
0,8,0.9215,0,0,0
0,9,0.9307,0,0,0
0,10,0.9352,0,0,0
0,11,0.9363,0,0,0
0,12,0.9394,0,0,0
0,13,0.9465,0,0,0
0,14,0.9495,0,0,0
0,15,0.9527,0,0,0
0,16,0.9521,0,0,0
0,17,0.9567,0,0,0
0,18,0.9559,0,0,0
0,19,0.9579,0,0,0
1,0,0.0000,0,0,0
1,1,0.1417,0,0,0
1,2,0.5196,0,0,0
1,3,0.5120,0,0,0
1,4,0.5307,0,0,0
1,5,0.5333,0,0,0
1,6,0.5384,0,0,0
1,7,0.5437,0,0,0
1,8,0.5451,0,0,0
1,9,0.5528,0,0,0
1,10,0.5622,0,0,0
1,11,0.5701,0,0,0
1,12,0.5880,0,0,0
1,13,0.5967,0,0,0
1,14,0.6018,0,0,0
1,15,0.6268,0,0,0
1,16,0.6367,0,0,0
1,17,0.6520,0,0,0
1,18,0.6687,0,0,0
1,19,0.6861,0,0,0
2,0,0.0000,0,0,0
2,1,0.1069,0,0,0
2,2,0.7183,0,0,0
2,3,0.8577,0,0,0
2,4,0.9190,0,0,0
2,5,0.9423,0,0,0
2,6,0.9518,0,0,0
2,7,0.9560,0,0,0
2,8,0.9619,0,0,0
2,9,0.9615,0,0,0
2,10,0.9640,0,0,0
2,11,0.9691,0,0,0
2,12,0.9683,0,0,0
2,13,0.9698,0,0,0
2,14,0.9687,0,0,0
2,15,0.9708,0,0,0
2,16,0.9712,0,0,0
2,17,0.9716,0,0,0
2,18,0.9732,0,0,0
2,19,0.9724,0,0,0
3,0,0.0000,0,0,0
3,1,0.0000,0,0,0
3,2,0.2742,0,0,0
3,3,0.5235,0,0,0
3,4,0.6298,0,0,0
3,5,0.7645,0,0,0
3,6,0.8402,0,0,0
3,7,0.8757,0,0,0
3,8,0.8922,0,0,0
3,9,0.9030,0,0,0
3,10,0.9137,0,0,0
3,11,0.9205,0,0,0
3,12,0.9267,0,0,0
3,13,0.9320,0,0,0
3,14,0.9338,0,0,0
3,15,0.9358,0,0,0
3,16,0.9417,0,0,0
3,17,0.9371,0,0,0
3,18,0.9423,0,0,0
3,19,0.9433,0,0,0
4,0,0.0000,0,0,0
4,1,0.1641,0,0,0
4,2,0.5399,0,0,0
4,3,0.9374,0,0,0
4,4,0.9609,0,0,0
4,5,0.9762,0,0,0
4,6,0.9891,0,0,0
4,7,0.9937,0,0,0
4,8,0.9951,0,0,0
4,9,0.9958,0,0,0
4,10,0.9960,0,0,0
4,11,0.9978,0,0,0
4,12,0.9978,0,0,0
4,13,0.9981,0,0,0
4,14,0.9983,0,0,0
4,15,0.9983,0,0,0
4,16,0.9981,0,0,0
4,17,0.9983,0,0,0
4,18,0.9990,0,0,0
4,19,0.9987,0,0,0
