training_exp,epoch,training_accuracy,val_accuracy,training_loss,val_loss
0,0,0.8222,0,0,0
0,1,0.9635,0,0,0
0,2,0.9733,0,0,0
0,3,0.9776,0,0,0
0,4,0.9822,0,0,0
0,5,0.9830,0,0,0
0,6,0.9851,0,0,0
0,7,0.9861,0,0,0
0,8,0.9878,0,0,0
0,9,0.9877,0,0,0
0,10,0.9884,0,0,0
0,11,0.9885,0,0,0
0,12,0.9888,0,0,0
0,13,0.9889,0,0,0
0,14,0.9903,0,0,0
0,15,0.9907,0,0,0
0,16,0.9900,0,0,0
0,17,0.9912,0,0,0
0,18,0.9915,0,0,0
0,19,0.9909,0,0,0
1,0,0.5220,0,0,0
1,1,0.9451,0,0,0
1,2,0.9675,0,0,0
1,3,0.9733,0,0,0
1,4,0.9798,0,0,0
1,5,0.9785,0,0,0
1,6,0.9810,0,0,0
1,7,0.9837,0,0,0
1,8,0.9842,0,0,0
1,9,0.9843,0,0,0
1,10,0.9839,0,0,0
1,11,0.9845,0,0,0
1,12,0.9857,0,0,0
1,13,0.9866,0,0,0
1,14,0.9869,0,0,0
1,15,0.9861,0,0,0
1,16,0.9862,0,0,0
1,17,0.9881,0,0,0
1,18,0.9880,0,0,0
1,19,0.9875,0,0,0
2,0,0.3602,0,0,0
2,1,0.7654,0,0,0
2,2,0.8530,0,0,0
2,3,0.8888,0,0,0
2,4,0.9075,0,0,0
2,5,0.9185,0,0,0
2,6,0.9311,0,0,0
2,7,0.9338,0,0,0
2,8,0.9366,0,0,0
2,9,0.9398,0,0,0
2,10,0.9441,0,0,0
2,11,0.9465,0,0,0
2,12,0.9496,0,0,0
2,13,0.9506,0,0,0
2,14,0.9514,0,0,0
2,15,0.9526,0,0,0
2,16,0.9556,0,0,0
2,17,0.9578,0,0,0
2,18,0.9604,0,0,0
2,19,0.9597,0,0,0
3,0,0.1679,0,0,0
3,1,0.8261,0,0,0
3,2,0.8988,0,0,0
3,3,0.9240,0,0,0
3,4,0.9377,0,0,0
3,5,0.9471,0,0,0
3,6,0.9534,0,0,0
3,7,0.9545,0,0,0
3,8,0.9575,0,0,0
3,9,0.9590,0,0,0
3,10,0.9632,0,0,0
3,11,0.9649,0,0,0
3,12,0.9656,0,0,0
3,13,0.9674,0,0,0
3,14,0.9682,0,0,0
3,15,0.9677,0,0,0
3,16,0.9711,0,0,0
3,17,0.9714,0,0,0
3,18,0.9715,0,0,0
3,19,0.9726,0,0,0
4,0,0.2208,0,0,0
4,1,0.9402,0,0,0
4,2,0.9692,0,0,0
4,3,0.9752,0,0,0
4,4,0.9808,0,0,0
4,5,0.9813,0,0,0
4,6,0.9837,0,0,0
4,7,0.9848,0,0,0
4,8,0.9866,0,0,0
4,9,0.9874,0,0,0
4,10,0.9890,0,0,0
4,11,0.9881,0,0,0
4,12,0.9879,0,0,0
4,13,0.9890,0,0,0
4,14,0.9895,0,0,0
4,15,0.9905,0,0,0
4,16,0.9914,0,0,0
4,17,0.9912,0,0,0
4,18,0.9913,0,0,0
4,19,0.9910,0,0,0
