training_exp,epoch,training_accuracy,val_accuracy,training_loss,val_loss
0,0,0.3229,0,0,0
0,1,0.5995,0,0,0
0,2,0.7076,0,0,0
0,3,0.7616,0,0,0
0,4,0.7933,0,0,0
0,5,0.8132,0,0,0
0,6,0.8286,0,0,0
0,7,0.8389,0,0,0
0,8,0.8485,0,0,0
0,9,0.8557,0,0,0
0,10,0.8618,0,0,0
0,11,0.8689,0,0,0
0,12,0.8725,0,0,0
0,13,0.8759,0,0,0
0,14,0.8819,0,0,0
0,15,0.8813,0,0,0
0,16,0.8865,0,0,0
0,17,0.8888,0,0,0
0,18,0.8894,0,0,0
0,19,0.8948,0,0,0
0,20,0.8954,0,0,0
0,21,0.8982,0,0,0
0,22,0.8993,0,0,0
0,23,0.9010,0,0,0
0,24,0.9037,0,0,0
0,25,0.9045,0,0,0
0,26,0.9074,0,0,0
0,27,0.9069,0,0,0
0,28,0.9090,0,0,0
0,29,0.9106,0,0,0
1,0,0.6267,0,0,0
1,1,0.7735,0,0,0
1,2,0.7972,0,0,0
1,3,0.8088,0,0,0
1,4,0.8145,0,0,0
1,5,0.8189,0,0,0
1,6,0.8229,0,0,0
1,7,0.8231,0,0,0
1,8,0.8246,0,0,0
1,9,0.8274,0,0,0
1,10,0.8293,0,0,0
1,11,0.8296,0,0,0
1,12,0.8303,0,0,0
1,13,0.8313,0,0,0
1,14,0.8318,0,0,0
1,15,0.8310,0,0,0
1,16,0.8322,0,0,0
1,17,0.8314,0,0,0
1,18,0.8345,0,0,0
1,19,0.8339,0,0,0
1,20,0.8345,0,0,0
1,21,0.8342,0,0,0
1,22,0.8350,0,0,0
1,23,0.8357,0,0,0
1,24,0.8367,0,0,0
1,25,0.8340,0,0,0
1,26,0.8356,0,0,0
1,27,0.8365,0,0,0
1,28,0.8366,0,0,0
1,29,0.8328,0,0,0
2,0,0.6768,0,0,0
2,1,0.8049,0,0,0
2,2,0.8224,0,0,0
2,3,0.8286,0,0,0
2,4,0.8348,0,0,0
2,5,0.8382,0,0,0
2,6,0.8397,0,0,0
2,7,0.8422,0,0,0
2,8,0.8439,0,0,0
2,9,0.8442,0,0,0
2,10,0.8445,0,0,0
2,11,0.8466,0,0,0
2,12,0.8455,0,0,0
2,13,0.8462,0,0,0
2,14,0.8459,0,0,0
2,15,0.8463,0,0,0
2,16,0.8485,0,0,0
2,17,0.8476,0,0,0
2,18,0.8493,0,0,0
2,19,0.8485,0,0,0
2,20,0.8494,0,0,0
2,21,0.8499,0,0,0
2,22,0.8499,0,0,0
2,23,0.8502,0,0,0
2,24,0.8500,0,0,0
2,25,0.8485,0,0,0
2,26,0.8493,0,0,0
2,27,0.8515,0,0,0
2,28,0.8482,0,0,0
2,29,0.8509,0,0,0
3,0,0.6801,0,0,0
3,1,0.8023,0,0,0
3,2,0.8213,0,0,0
3,3,0.8323,0,0,0
3,4,0.8372,0,0,0
3,5,0.8384,0,0,0
3,6,0.8400,0,0,0
3,7,0.8447,0,0,0
3,8,0.8420,0,0,0
3,9,0.8452,0,0,0
3,10,0.8439,0,0,0
3,11,0.8454,0,0,0
3,12,0.8468,0,0,0
3,13,0.8460,0,0,0
3,14,0.8461,0,0,0
3,15,0.8494,0,0,0
3,16,0.8485,0,0,0
3,17,0.8507,0,0,0
3,18,0.8491,0,0,0
3,19,0.8488,0,0,0
3,20,0.8503,0,0,0
3,21,0.8510,0,0,0
3,22,0.8503,0,0,0
3,23,0.8508,0,0,0
3,24,0.8516,0,0,0
3,25,0.8482,0,0,0
3,26,0.8505,0,0,0
3,27,0.8500,0,0,0
3,28,0.8497,0,0,0
3,29,0.8506,0,0,0
4,0,0.7076,0,0,0
4,1,0.8182,0,0,0
4,2,0.8330,0,0,0
4,3,0.8419,0,0,0
4,4,0.8462,0,0,0
4,5,0.8493,0,0,0
4,6,0.8497,0,0,0
4,7,0.8506,0,0,0
4,8,0.8531,0,0,0
4,9,0.8522,0,0,0
4,10,0.8527,0,0,0
4,11,0.8548,0,0,0
4,12,0.8544,0,0,0
4,13,0.8542,0,0,0
4,14,0.8560,0,0,0
4,15,0.8565,0,0,0
4,16,0.8579,0,0,0
4,17,0.8554,0,0,0
4,18,0.8582,0,0,0
4,19,0.8579,0,0,0
4,20,0.8579,0,0,0
4,21,0.8592,0,0,0
4,22,0.8582,0,0,0
4,23,0.8589,0,0,0
4,24,0.8575,0,0,0
4,25,0.8593,0,0,0
4,26,0.8589,0,0,0
4,27,0.8598,0,0,0
4,28,0.8605,0,0,0
4,29,0.8590,0,0,0
5,0,0.7186,0,0,0
5,1,0.8234,0,0,0
5,2,0.8383,0,0,0
5,3,0.8447,0,0,0
5,4,0.8495,0,0,0
5,5,0.8530,0,0,0
5,6,0.8526,0,0,0
5,7,0.8554,0,0,0
5,8,0.8553,0,0,0
5,9,0.8572,0,0,0
5,10,0.8552,0,0,0
5,11,0.8579,0,0,0
5,12,0.8578,0,0,0
5,13,0.8589,0,0,0
5,14,0.8589,0,0,0
5,15,0.8613,0,0,0
5,16,0.8571,0,0,0
5,17,0.8602,0,0,0
5,18,0.8599,0,0,0
5,19,0.8599,0,0,0
5,20,0.8613,0,0,0
5,21,0.8612,0,0,0
5,22,0.8602,0,0,0
5,23,0.8609,0,0,0
5,24,0.8629,0,0,0
5,25,0.8615,0,0,0
5,26,0.8625,0,0,0
5,27,0.8626,0,0,0
5,28,0.8593,0,0,0
5,29,0.8617,0,0,0
6,0,0.7081,0,0,0
6,1,0.8236,0,0,0
6,2,0.8390,0,0,0
6,3,0.8421,0,0,0
6,4,0.8476,0,0,0
6,5,0.8509,0,0,0
6,6,0.8519,0,0,0
6,7,0.8524,0,0,0
6,8,0.8535,0,0,0
6,9,0.8552,0,0,0
6,10,0.8560,0,0,0
6,11,0.8568,0,0,0
6,12,0.8565,0,0,0
6,13,0.8560,0,0,0
6,14,0.8582,0,0,0
6,15,0.8587,0,0,0
6,16,0.8576,0,0,0
6,17,0.8581,0,0,0
6,18,0.8600,0,0,0
6,19,0.8602,0,0,0
6,20,0.8590,0,0,0
6,21,0.8585,0,0,0
6,22,0.8596,0,0,0
6,23,0.8616,0,0,0
6,24,0.8610,0,0,0
6,25,0.8601,0,0,0
6,26,0.8612,0,0,0
6,27,0.8609,0,0,0
6,28,0.8604,0,0,0
6,29,0.8617,0,0,0
7,0,0.7105,0,0,0
7,1,0.8205,0,0,0
7,2,0.8389,0,0,0
7,3,0.8467,0,0,0
7,4,0.8453,0,0,0
7,5,0.8505,0,0,0
7,6,0.8529,0,0,0
7,7,0.8536,0,0,0
7,8,0.8549,0,0,0
7,9,0.8572,0,0,0
7,10,0.8572,0,0,0
7,11,0.8571,0,0,0
7,12,0.8591,0,0,0
7,13,0.8592,0,0,0
7,14,0.8612,0,0,0
7,15,0.8606,0,0,0
7,16,0.8607,0,0,0
7,17,0.8597,0,0,0
7,18,0.8626,0,0,0
7,19,0.8614,0,0,0
7,20,0.8609,0,0,0
7,21,0.8617,0,0,0
7,22,0.8605,0,0,0
7,23,0.8625,0,0,0
7,24,0.8618,0,0,0
7,25,0.8633,0,0,0
7,26,0.8607,0,0,0
7,27,0.8635,0,0,0
7,28,0.8626,0,0,0
7,29,0.8606,0,0,0
8,0,0.7238,0,0,0
8,1,0.8260,0,0,0
8,2,0.8397,0,0,0
8,3,0.8485,0,0,0
8,4,0.8513,0,0,0
8,5,0.8552,0,0,0
8,6,0.8571,0,0,0
8,7,0.8568,0,0,0
8,8,0.8582,0,0,0
8,9,0.8596,0,0,0
