training_exp,epoch,training_accuracy,val_accuracy,training_loss,val_loss
0,0,0.4628,0,0,0
0,1,0.5425,0,0,0
0,2,0.5906,0,0,0
0,3,0.6927,0,0,0
0,4,0.8157,0,0,0
0,5,0.8895,0,0,0
0,6,0.9204,0,0,0
0,7,0.9417,0,0,0
0,8,0.9547,0,0,0
0,9,0.9594,0,0,0
0,10,0.9673,0,0,0
0,11,0.9693,0,0,0
0,12,0.9726,0,0,0
0,13,0.9747,0,0,0
0,14,0.9752,0,0,0
0,15,0.9764,0,0,0
0,16,0.9773,0,0,0
0,17,0.9782,0,0,0
0,18,0.9808,0,0,0
0,19,0.9801,0,0,0
1,0,0.0000,0,0,0
1,1,0.0008,0,0,0
1,2,0.1440,0,0,0
1,3,0.5138,0,0,0
1,4,0.7800,0,0,0
1,5,0.8806,0,0,0
1,6,0.9178,0,0,0
1,7,0.9425,0,0,0
1,8,0.9511,0,0,0
1,9,0.9618,0,0,0
1,10,0.9677,0,0,0
1,11,0.9700,0,0,0
1,12,0.9712,0,0,0
1,13,0.9762,0,0,0
1,14,0.9756,0,0,0
1,15,0.9808,0,0,0
1,16,0.9808,0,0,0
1,17,0.9819,0,0,0
1,18,0.9842,0,0,0
1,19,0.9819,0,0,0
2,0,0.4313,0,0,0
2,1,0.5387,0,0,0
2,2,0.6088,0,0,0
2,3,0.7203,0,0,0
2,4,0.8011,0,0,0
2,5,0.8340,0,0,0
2,6,0.8501,0,0,0
2,7,0.8605,0,0,0
2,8,0.8678,0,0,0
2,9,0.8732,0,0,0
2,10,0.8745,0,0,0
2,11,0.8784,0,0,0
2,12,0.8828,0,0,0
2,13,0.8845,0,0,0
2,14,0.8852,0,0,0
2,15,0.8888,0,0,0
2,16,0.8943,0,0,0
2,17,0.8922,0,0,0
2,18,0.8934,0,0,0
2,19,0.8898,0,0,0
3,0,0.5648,0,0,0
3,1,0.8897,0,0,0
3,2,0.9219,0,0,0
3,3,0.9331,0,0,0
3,4,0.9418,0,0,0
3,5,0.9443,0,0,0
3,6,0.9477,0,0,0
3,7,0.9522,0,0,0
3,8,0.9542,0,0,0
3,9,0.9585,0,0,0
3,10,0.9615,0,0,0
3,11,0.9597,0,0,0
3,12,0.9599,0,0,0
3,13,0.9637,0,0,0
3,14,0.9655,0,0,0
3,15,0.9667,0,0,0
3,16,0.9672,0,0,0
3,17,0.9683,0,0,0
3,18,0.9681,0,0,0
3,19,0.9673,0,0,0
4,0,0.8492,0,0,0
4,1,0.9611,0,0,0
4,2,0.9639,0,0,0
4,3,0.9703,0,0,0
4,4,0.9716,0,0,0
4,5,0.9738,0,0,0
4,6,0.9738,0,0,0
4,7,0.9770,0,0,0
4,8,0.9758,0,0,0
4,9,0.9781,0,0,0
4,10,0.9785,0,0,0
4,11,0.9798,0,0,0
4,12,0.9788,0,0,0
4,13,0.9808,0,0,0
4,14,0.9803,0,0,0
4,15,0.9807,0,0,0
4,16,0.9810,0,0,0
4,17,0.9799,0,0,0
4,18,0.9813,0,0,0
4,19,0.9851,0,0,0
