training_exp,epoch,training_accuracy,val_accuracy,training_loss,val_loss
0,0,0.6378,0,0,0
0,1,0.8808,0,0,0
0,2,0.9300,0,0,0
0,3,0.9426,0,0,0
0,4,0.9534,0,0,0
0,5,0.9582,0,0,0
0,6,0.9614,0,0,0
0,7,0.9646,0,0,0
0,8,0.9693,0,0,0
0,9,0.9693,0,0,0
0,10,0.9723,0,0,0
0,11,0.9747,0,0,0
0,12,0.9768,0,0,0
0,13,0.9756,0,0,0
0,14,0.9776,0,0,0
0,15,0.9792,0,0,0
0,16,0.9789,0,0,0
0,17,0.9808,0,0,0
0,18,0.9811,0,0,0
0,19,0.9820,0,0,0
1,0,0.5368,0,0,0
1,1,0.9363,0,0,0
1,2,0.9550,0,0,0
1,3,0.9663,0,0,0
1,4,0.9701,0,0,0
1,5,0.9705,0,0,0
1,6,0.9755,0,0,0
1,7,0.9752,0,0,0
1,8,0.9778,0,0,0
1,9,0.9784,0,0,0
1,10,0.9794,0,0,0
1,11,0.9799,0,0,0
1,12,0.9803,0,0,0
1,13,0.9811,0,0,0
1,14,0.9817,0,0,0
1,15,0.9801,0,0,0
1,16,0.9813,0,0,0
1,17,0.9835,0,0,0
1,18,0.9822,0,0,0
1,19,0.9833,0,0,0
2,0,0.5792,0,0,0
2,1,0.8617,0,0,0
2,2,0.9155,0,0,0
2,3,0.9356,0,0,0
2,4,0.9442,0,0,0
2,5,0.9458,0,0,0
2,6,0.9559,0,0,0
2,7,0.9573,0,0,0
2,8,0.9578,0,0,0
2,9,0.9588,0,0,0
2,10,0.9603,0,0,0
2,11,0.9627,0,0,0
2,12,0.9636,0,0,0
2,13,0.9624,0,0,0
2,14,0.9656,0,0,0
2,15,0.9659,0,0,0
2,16,0.9661,0,0,0
2,17,0.9685,0,0,0
2,18,0.9681,0,0,0
2,19,0.9674,0,0,0
3,0,0.8045,0,0,0
3,1,0.9659,0,0,0
3,2,0.9722,0,0,0
3,3,0.9764,0,0,0
3,4,0.9779,0,0,0
3,5,0.9801,0,0,0
3,6,0.9793,0,0,0
3,7,0.9803,0,0,0
3,8,0.9809,0,0,0
3,9,0.9816,0,0,0
3,10,0.9821,0,0,0
3,11,0.9823,0,0,0
3,12,0.9833,0,0,0
3,13,0.9830,0,0,0
3,14,0.9829,0,0,0
3,15,0.9831,0,0,0
3,16,0.9844,0,0,0
3,17,0.9858,0,0,0
3,18,0.9842,0,0,0
3,19,0.9854,0,0,0
4,0,0.7583,0,0,0
4,1,0.9154,0,0,0
4,2,0.9430,0,0,0
4,3,0.9502,0,0,0
4,4,0.9570,0,0,0
4,5,0.9601,0,0,0
4,6,0.9625,0,0,0
4,7,0.9654,0,0,0
4,8,0.9654,0,0,0
4,9,0.9693,0,0,0
4,10,0.9675,0,0,0
4,11,0.9705,0,0,0
4,12,0.9706,0,0,0
4,13,0.9719,0,0,0
4,14,0.9695,0,0,0
4,15,0.9719,0,0,0
4,16,0.9729,0,0,0
4,17,0.9737,0,0,0
4,18,0.9726,0,0,0
4,19,0.9746,0,0,0
