training_exp,epoch,training_accuracy,val_accuracy,training_loss,val_loss
0,0,0.3312,0,0,0
0,1,0.6026,0,0,0
0,2,0.7110,0,0,0
0,3,0.7639,0,0,0
0,4,0.7973,0,0,0
0,5,0.8179,0,0,0
0,6,0.8315,0,0,0
0,7,0.8420,0,0,0
0,8,0.8490,0,0,0
0,9,0.8583,0,0,0
0,10,0.8617,0,0,0
0,11,0.8677,0,0,0
0,12,0.8727,0,0,0
0,13,0.8772,0,0,0
0,14,0.8799,0,0,0
0,15,0.8829,0,0,0
0,16,0.8861,0,0,0
0,17,0.8891,0,0,0
0,18,0.8902,0,0,0
0,19,0.8936,0,0,0
0,20,0.8946,0,0,0
0,21,0.8983,0,0,0
0,22,0.8996,0,0,0
0,23,0.9013,0,0,0
0,24,0.9022,0,0,0
0,25,0.9054,0,0,0
0,26,0.9062,0,0,0
0,27,0.9092,0,0,0
0,28,0.9095,0,0,0
0,29,0.9122,0,0,0
1,0,0.6896,0,0,0
1,1,0.8240,0,0,0
1,2,0.8509,0,0,0
1,3,0.8677,0,0,0
1,4,0.8759,0,0,0
1,5,0.8829,0,0,0
1,6,0.8900,0,0,0
1,7,0.8921,0,0,0
1,8,0.8975,0,0,0
1,9,0.8986,0,0,0
1,10,0.9011,0,0,0
1,11,0.9054,0,0,0
1,12,0.9069,0,0,0
1,13,0.9082,0,0,0
1,14,0.9092,0,0,0
1,15,0.9105,0,0,0
1,16,0.9147,0,0,0
1,17,0.9151,0,0,0
1,18,0.9162,0,0,0
1,19,0.9169,0,0,0
1,20,0.9196,0,0,0
1,21,0.9201,0,0,0
1,22,0.9202,0,0,0
1,23,0.9206,0,0,0
1,24,0.9232,0,0,0
1,25,0.9254,0,0,0
1,26,0.9250,0,0,0
1,27,0.9249,0,0,0
1,28,0.9266,0,0,0
1,29,0.9280,0,0,0
2,0,0.6738,0,0,0
2,1,0.8222,0,0,0
2,2,0.8536,0,0,0
2,3,0.8684,0,0,0
2,4,0.8788,0,0,0
2,5,0.8844,0,0,0
2,6,0.8902,0,0,0
2,7,0.8976,0,0,0
2,8,0.8991,0,0,0
2,9,0.9049,0,0,0
2,10,0.9055,0,0,0
2,11,0.9069,0,0,0
2,12,0.9105,0,0,0
2,13,0.9129,0,0,0
2,14,0.9133,0,0,0
2,15,0.9163,0,0,0
2,16,0.9154,0,0,0
2,17,0.9193,0,0,0
2,18,0.9181,0,0,0
2,19,0.9200,0,0,0
2,20,0.9209,0,0,0
2,21,0.9215,0,0,0
2,22,0.9221,0,0,0
2,23,0.9247,0,0,0
2,24,0.9253,0,0,0
2,25,0.9246,0,0,0
2,26,0.9272,0,0,0
2,27,0.9274,0,0,0
2,28,0.9297,0,0,0
2,29,0.9302,0,0,0
3,0,0.6959,0,0,0
3,1,0.8319,0,0,0
3,2,0.8587,0,0,0
3,3,0.8731,0,0,0
3,4,0.8827,0,0,0
3,5,0.8891,0,0,0
3,6,0.8934,0,0,0
3,7,0.8997,0,0,0
3,8,0.9022,0,0,0
3,9,0.9060,0,0,0
3,10,0.9083,0,0,0
3,11,0.9102,0,0,0
3,12,0.9129,0,0,0
3,13,0.9144,0,0,0
3,14,0.9153,0,0,0
3,15,0.9193,0,0,0
3,16,0.9183,0,0,0
3,17,0.9202,0,0,0
3,18,0.9228,0,0,0
3,19,0.9226,0,0,0
3,20,0.9241,0,0,0
3,21,0.9256,0,0,0
3,22,0.9260,0,0,0
3,23,0.9252,0,0,0
3,24,0.9278,0,0,0
3,25,0.9271,0,0,0
3,26,0.9287,0,0,0
3,27,0.9287,0,0,0
3,28,0.9303,0,0,0
3,29,0.9304,0,0,0
4,0,0.7085,0,0,0
4,1,0.8420,0,0,0
4,2,0.8686,0,0,0
4,3,0.8808,0,0,0
4,4,0.8894,0,0,0
4,5,0.8935,0,0,0
4,6,0.8986,0,0,0
4,7,0.9035,0,0,0
4,8,0.9067,0,0,0
4,9,0.9107,0,0,0
4,10,0.9129,0,0,0
4,11,0.9162,0,0,0
4,12,0.9167,0,0,0
4,13,0.9184,0,0,0
