training_exp,epoch,training_accuracy,val_accuracy,training_loss,val_loss
0,0,0.4557,0,0,0
0,1,0.5798,0,0,0
0,2,0.7092,0,0,0
0,3,0.8568,0,0,0
0,4,0.9454,0,0,0
0,5,0.9752,0,0,0
0,6,0.9868,0,0,0
0,7,0.9902,0,0,0
0,8,0.9927,0,0,0
0,9,0.9937,0,0,0
0,10,0.9945,0,0,0
0,11,0.9954,0,0,0
0,12,0.9962,0,0,0
0,13,0.9968,0,0,0
0,14,0.9968,0,0,0
0,15,0.9972,0,0,0
0,16,0.9975,0,0,0
0,17,0.9976,0,0,0
0,18,0.9972,0,0,0
0,19,0.9973,0,0,0
1,0,0.2934,0,0,0
1,1,0.5913,0,0,0
1,2,0.6873,0,0,0
1,3,0.8109,0,0,0
1,4,0.9064,0,0,0
1,5,0.9463,0,0,0
1,6,0.9563,0,0,0
1,7,0.9607,0,0,0
1,8,0.9623,0,0,0
1,9,0.9663,0,0,0
1,10,0.9673,0,0,0
1,11,0.9687,0,0,0
1,12,0.9689,0,0,0
1,13,0.9687,0,0,0
1,14,0.9709,0,0,0
1,15,0.9722,0,0,0
1,16,0.9714,0,0,0
1,17,0.9726,0,0,0
1,18,0.9739,0,0,0
1,19,0.9744,0,0,0
2,0,0.0510,0,0,0
2,1,0.5389,0,0,0
2,2,0.6793,0,0,0
2,3,0.8551,0,0,0
2,4,0.9116,0,0,0
2,5,0.9357,0,0,0
2,6,0.9457,0,0,0
2,7,0.9531,0,0,0
2,8,0.9600,0,0,0
2,9,0.9620,0,0,0
2,10,0.9599,0,0,0
2,11,0.9663,0,0,0
2,12,0.9648,0,0,0
2,13,0.9660,0,0,0
2,14,0.9696,0,0,0
2,15,0.9675,0,0,0
2,16,0.9682,0,0,0
2,17,0.9704,0,0,0
2,18,0.9688,0,0,0
2,19,0.9697,0,0,0
3,0,0.2993,0,0,0
3,1,0.7913,0,0,0
3,2,0.9546,0,0,0
3,3,0.9775,0,0,0
3,4,0.9843,0,0,0
3,5,0.9872,0,0,0
3,6,0.9906,0,0,0
3,7,0.9917,0,0,0
3,8,0.9933,0,0,0
3,9,0.9943,0,0,0
3,10,0.9949,0,0,0
3,11,0.9947,0,0,0
3,12,0.9958,0,0,0
3,13,0.9949,0,0,0
3,14,0.9965,0,0,0
3,15,0.9962,0,0,0
3,16,0.9965,0,0,0
3,17,0.9959,0,0,0
3,18,0.9968,0,0,0
3,19,0.9968,0,0,0
4,0,0.2992,0,0,0
4,1,0.6288,0,0,0
4,2,0.9929,0,0,0
4,3,0.9986,0,0,0
4,4,0.9992,0,0,0
4,5,0.9991,0,0,0
4,6,0.9990,0,0,0
4,7,0.9993,0,0,0
4,8,0.9992,0,0,0
4,9,0.9992,0,0,0
4,10,0.9992,0,0,0
4,11,0.9992,0,0,0
4,12,0.9993,0,0,0
4,13,0.9994,0,0,0
4,14,0.9994,0,0,0
4,15,0.9994,0,0,0
4,16,0.9994,0,0,0
4,17,0.9996,0,0,0
4,18,0.9995,0,0,0
4,19,0.9997,0,0,0
