training_exp,epoch,training_accuracy,val_accuracy,training_loss,val_loss
0,0,0.6873,0,0,0
0,1,0.9342,0,0,0
0,2,0.9521,0,0,0
0,3,0.9592,0,0,0
0,4,0.9645,0,0,0
0,5,0.9661,0,0,0
0,6,0.9696,0,0,0
0,7,0.9721,0,0,0
0,8,0.9733,0,0,0
0,9,0.9739,0,0,0
0,10,0.9743,0,0,0
0,11,0.9757,0,0,0
0,12,0.9775,0,0,0
0,13,0.9790,0,0,0
0,14,0.9786,0,0,0
0,15,0.9795,0,0,0
0,16,0.9813,0,0,0
0,17,0.9795,0,0,0
0,18,0.9810,0,0,0
0,19,0.9804,0,0,0
1,0,0.5873,0,0,0
1,1,0.9431,0,0,0
1,2,0.9633,0,0,0
1,3,0.9721,0,0,0
1,4,0.9791,0,0,0
1,5,0.9789,0,0,0
1,6,0.9808,0,0,0
1,7,0.9818,0,0,0
1,8,0.9838,0,0,0
1,9,0.9845,0,0,0
1,10,0.9856,0,0,0
1,11,0.9850,0,0,0
1,12,0.9872,0,0,0
1,13,0.9869,0,0,0
1,14,0.9861,0,0,0
1,15,0.9876,0,0,0
1,16,0.9880,0,0,0
1,17,0.9885,0,0,0
1,18,0.9894,0,0,0
1,19,0.9889,0,0,0
2,0,0.3660,0,0,0
2,1,0.7865,0,0,0
2,2,0.8549,0,0,0
2,3,0.8908,0,0,0
2,4,0.9095,0,0,0
2,5,0.9185,0,0,0
2,6,0.9280,0,0,0
2,7,0.9298,0,0,0
2,8,0.9355,0,0,0
2,9,0.9410,0,0,0
2,10,0.9404,0,0,0
2,11,0.9457,0,0,0
2,12,0.9450,0,0,0
2,13,0.9483,0,0,0
2,14,0.9519,0,0,0
2,15,0.9514,0,0,0
2,16,0.9526,0,0,0
2,17,0.9548,0,0,0
2,18,0.9540,0,0,0
2,19,0.9572,0,0,0
3,0,0.2275,0,0,0
3,1,0.7662,0,0,0
3,2,0.8510,0,0,0
3,3,0.8960,0,0,0
3,4,0.9165,0,0,0
3,5,0.9304,0,0,0
3,6,0.9369,0,0,0
3,7,0.9405,0,0,0
3,8,0.9459,0,0,0
3,9,0.9482,0,0,0
3,10,0.9502,0,0,0
3,11,0.9503,0,0,0
3,12,0.9550,0,0,0
3,13,0.9570,0,0,0
3,14,0.9578,0,0,0
3,15,0.9578,0,0,0
3,16,0.9622,0,0,0
3,17,0.9606,0,0,0
3,18,0.9634,0,0,0
3,19,0.9632,0,0,0
4,0,0.1780,0,0,0
4,1,0.8652,0,0,0
4,2,0.9339,0,0,0
4,3,0.9527,0,0,0
4,4,0.9577,0,0,0
4,5,0.9624,0,0,0
4,6,0.9674,0,0,0
4,7,0.9689,0,0,0
4,8,0.9704,0,0,0
4,9,0.9720,0,0,0
4,10,0.9723,0,0,0
4,11,0.9738,0,0,0
4,12,0.9749,0,0,0
4,13,0.9736,0,0,0
4,14,0.9780,0,0,0
4,15,0.9765,0,0,0
4,16,0.9774,0,0,0
4,17,0.9776,0,0,0
4,18,0.9786,0,0,0
4,19,0.9791,0,0,0
