training_exp,epoch,training_accuracy,val_accuracy,training_loss,val_loss
0,0,0.3210,0,0,0
0,1,0.5748,0,0,0
0,2,0.6875,0,0,0
0,3,0.7492,0,0,0
0,4,0.7856,0,0,0
0,5,0.8073,0,0,0
0,6,0.8228,0,0,0
0,7,0.8347,0,0,0
0,8,0.8450,0,0,0
0,9,0.8526,0,0,0
0,10,0.8602,0,0,0
0,11,0.8656,0,0,0
0,12,0.8706,0,0,0
0,13,0.8737,0,0,0
0,14,0.8781,0,0,0
0,15,0.8821,0,0,0
0,16,0.8855,0,0,0
0,17,0.8870,0,0,0
0,18,0.8895,0,0,0
0,19,0.8933,0,0,0
0,20,0.8931,0,0,0
0,21,0.8972,0,0,0
0,22,0.8983,0,0,0
0,23,0.8986,0,0,0
0,24,0.9019,0,0,0
0,25,0.9034,0,0,0
0,26,0.9047,0,0,0
0,27,0.9063,0,0,0
0,28,0.9089,0,0,0
0,29,0.9091,0,0,0
1,0,0.6852,0,0,0
1,1,0.8251,0,0,0
1,2,0.8535,0,0,0
1,3,0.8656,0,0,0
1,4,0.8750,0,0,0
1,5,0.8814,0,0,0
1,6,0.8870,0,0,0
1,7,0.8913,0,0,0
1,8,0.8947,0,0,0
1,9,0.8979,0,0,0
1,10,0.9017,0,0,0
1,11,0.9032,0,0,0
1,12,0.9046,0,0,0
1,13,0.9072,0,0,0
1,14,0.9076,0,0,0
1,15,0.9100,0,0,0
1,16,0.9118,0,0,0
1,17,0.9131,0,0,0
1,18,0.9142,0,0,0
1,19,0.9157,0,0,0
1,20,0.9172,0,0,0
1,21,0.9178,0,0,0
1,22,0.9192,0,0,0
1,23,0.9215,0,0,0
1,24,0.9205,0,0,0
1,25,0.9222,0,0,0
1,26,0.9241,0,0,0
1,27,0.9225,0,0,0
1,28,0.9248,0,0,0
1,29,0.9245,0,0,0
2,0,0.7008,0,0,0
2,1,0.8296,0,0,0
2,2,0.8547,0,0,0
2,3,0.8717,0,0,0
2,4,0.8807,0,0,0
2,5,0.8856,0,0,0
2,6,0.8946,0,0,0
2,7,0.8952,0,0,0
2,8,0.8990,0,0,0
2,9,0.9031,0,0,0
2,10,0.9051,0,0,0
2,11,0.9064,0,0,0
2,12,0.9103,0,0,0
2,13,0.9120,0,0,0
2,14,0.9128,0,0,0
2,15,0.9137,0,0,0
2,16,0.9179,0,0,0
2,17,0.9191,0,0,0
2,18,0.9190,0,0,0
2,19,0.9207,0,0,0
2,20,0.9218,0,0,0
2,21,0.9226,0,0,0
2,22,0.9233,0,0,0
2,23,0.9245,0,0,0
2,24,0.9257,0,0,0
2,25,0.9258,0,0,0
2,26,0.9276,0,0,0
2,27,0.9277,0,0,0
2,28,0.9281,0,0,0
2,29,0.9294,0,0,0
3,0,0.7262,0,0,0
3,1,0.8472,0,0,0
3,2,0.8717,0,0,0
3,3,0.8830,0,0,0
3,4,0.8916,0,0,0
3,5,0.8954,0,0,0
3,6,0.9008,0,0,0
3,7,0.9063,0,0,0
3,8,0.9082,0,0,0
3,9,0.9103,0,0,0
3,10,0.9123,0,0,0
3,11,0.9125,0,0,0
3,12,0.9162,0,0,0
3,13,0.9187,0,0,0
3,14,0.9209,0,0,0
3,15,0.9213,0,0,0
3,16,0.9205,0,0,0
3,17,0.9242,0,0,0
3,18,0.9240,0,0,0
3,19,0.9256,0,0,0
3,20,0.9266,0,0,0
3,21,0.9301,0,0,0
3,22,0.9274,0,0,0
3,23,0.9293,0,0,0
3,24,0.9304,0,0,0
3,25,0.9299,0,0,0
3,26,0.9296,0,0,0
3,27,0.9322,0,0,0
3,28,0.9326,0,0,0
3,29,0.9319,0,0,0
4,0,0.7230,0,0,0
4,1,0.8452,0,0,0
4,2,0.8677,0,0,0
4,3,0.8820,0,0,0
4,4,0.8900,0,0,0
4,5,0.8965,0,0,0
4,6,0.9031,0,0,0
4,7,0.9051,0,0,0
4,8,0.9099,0,0,0
4,9,0.9103,0,0,0
4,10,0.9134,0,0,0
4,11,0.9173,0,0,0
4,12,0.9180,0,0,0
4,13,0.9194,0,0,0
4,14,0.9214,0,0,0
4,15,0.9217,0,0,0
4,16,0.9245,0,0,0
4,17,0.9257,0,0,0
4,18,0.9237,0,0,0
4,19,0.9274,0,0,0
4,20,0.9284,0,0,0
4,21,0.9280,0,0,0
4,22,0.9288,0,0,0
4,23,0.9298,0,0,0
4,24,0.9317,0,0,0
4,25,0.9312,0,0,0
4,26,0.9310,0,0,0
4,27,0.9318,0,0,0
4,28,0.9342,0,0,0
4,29,0.9333,0,0,0
5,0,0.7199,0,0,0
5,1,0.8387,0,0,0
5,2,0.8656,0,0,0
5,3,0.8787,0,0,0
5,4,0.8885,0,0,0
5,5,0.8939,0,0,0
5,6,0.8984,0,0,0
5,7,0.9039,0,0,0
5,8,0.9071,0,0,0
5,9,0.9106,0,0,0
5,10,0.9122,0,0,0
5,11,0.9132,0,0,0
5,12,0.9145,0,0,0
5,13,0.9207,0,0,0
5,14,0.9200,0,0,0
5,15,0.9216,0,0,0
5,16,0.9227,0,0,0
5,17,0.9228,0,0,0
5,18,0.9250,0,0,0
5,19,0.9249,0,0,0
5,20,0.9256,0,0,0
5,21,0.9274,0,0,0
5,22,0.9269,0,0,0
5,23,0.9292,0,0,0
5,24,0.9302,0,0,0
5,25,0.9310,0,0,0
5,26,0.9301,0,0,0
5,27,0.9296,0,0,0
5,28,0.9314,0,0,0
5,29,0.9341,0,0,0
6,0,0.7023,0,0,0
6,1,0.8350,0,0,0
6,2,0.8639,0,0,0
6,3,0.8777,0,0,0
6,4,0.8874,0,0,0
6,5,0.8940,0,0,0
6,6,0.9003,0,0,0
6,7,0.9040,0,0,0
6,8,0.9091,0,0,0
6,9,0.9116,0,0,0
6,10,0.9124,0,0,0
6,11,0.9164,0,0,0
6,12,0.9194,0,0,0
6,13,0.9200,0,0,0
6,14,0.9215,0,0,0
6,15,0.9228,0,0,0
6,16,0.9245,0,0,0
6,17,0.9260,0,0,0
6,18,0.9266,0,0,0
6,19,0.9274,0,0,0
6,20,0.9284,0,0,0
6,21,0.9296,0,0,0
6,22,0.9310,0,0,0
6,23,0.9319,0,0,0
6,24,0.9315,0,0,0
6,25,0.9318,0,0,0
6,26,0.9339,0,0,0
6,27,0.9336,0,0,0
6,28,0.9354,0,0,0
6,29,0.9343,0,0,0
7,0,0.7156,0,0,0
7,1,0.8413,0,0,0
7,2,0.8665,0,0,0
7,3,0.8788,0,0,0
7,4,0.8916,0,0,0
7,5,0.8973,0,0,0
7,6,0.9011,0,0,0
7,7,0.9041,0,0,0
7,8,0.9082,0,0,0
7,9,0.9120,0,0,0
7,10,0.9149,0,0,0
7,11,0.9173,0,0,0
7,12,0.9169,0,0,0
7,13,0.9203,0,0,0
7,14,0.9216,0,0,0
7,15,0.9236,0,0,0
