training_exp,epoch,training_accuracy,val_accuracy,training_loss,val_loss
0,0,0.7798,0,0,0
0,1,0.9702,0,0,0
0,2,0.9813,0,0,0
0,3,0.9845,0,0,0
0,4,0.9869,0,0,0
0,5,0.9897,0,0,0
0,6,0.9892,0,0,0
0,7,0.9907,0,0,0
0,8,0.9904,0,0,0
0,9,0.9918,0,0,0
0,10,0.9927,0,0,0
0,11,0.9932,0,0,0
0,12,0.9937,0,0,0
0,13,0.9938,0,0,0
0,14,0.9939,0,0,0
0,15,0.9942,0,0,0
0,16,0.9953,0,0,0
0,17,0.9948,0,0,0
0,18,0.9951,0,0,0
0,19,0.9948,0,0,0
1,0,0.4604,0,0,0
1,1,0.8849,0,0,0
1,2,0.9364,0,0,0
1,3,0.9508,0,0,0
1,4,0.9549,0,0,0
1,5,0.9611,0,0,0
1,6,0.9653,0,0,0
1,7,0.9667,0,0,0
1,8,0.9673,0,0,0
1,9,0.9706,0,0,0
1,10,0.9699,0,0,0
1,11,0.9729,0,0,0
1,12,0.9739,0,0,0
1,13,0.9735,0,0,0
1,14,0.9725,0,0,0
1,15,0.9757,0,0,0
1,16,0.9760,0,0,0
1,17,0.9763,0,0,0
1,18,0.9771,0,0,0
1,19,0.9764,0,0,0
2,0,0.5052,0,0,0
2,1,0.9522,0,0,0
2,2,0.9692,0,0,0
2,3,0.9773,0,0,0
2,4,0.9806,0,0,0
2,5,0.9842,0,0,0
2,6,0.9846,0,0,0
2,7,0.9872,0,0,0
2,8,0.9868,0,0,0
2,9,0.9889,0,0,0
2,10,0.9889,0,0,0
2,11,0.9890,0,0,0
2,12,0.9883,0,0,0
2,13,0.9901,0,0,0
2,14,0.9904,0,0,0
2,15,0.9905,0,0,0
2,16,0.9908,0,0,0
2,17,0.9912,0,0,0
2,18,0.9918,0,0,0
2,19,0.9912,0,0,0
3,0,0.5058,0,0,0
3,1,0.9062,0,0,0
3,2,0.9461,0,0,0
3,3,0.9580,0,0,0
3,4,0.9699,0,0,0
3,5,0.9722,0,0,0
3,6,0.9733,0,0,0
3,7,0.9724,0,0,0
3,8,0.9779,0,0,0
3,9,0.9788,0,0,0
3,10,0.9804,0,0,0
3,11,0.9818,0,0,0
3,12,0.9824,0,0,0
3,13,0.9813,0,0,0
3,14,0.9833,0,0,0
3,15,0.9833,0,0,0
3,16,0.9842,0,0,0
3,17,0.9841,0,0,0
3,18,0.9859,0,0,0
3,19,0.9858,0,0,0
4,0,0.3118,0,0,0
4,1,0.8170,0,0,0
4,2,0.8802,0,0,0
4,3,0.9111,0,0,0
4,4,0.9236,0,0,0
4,5,0.9337,0,0,0
4,6,0.9417,0,0,0
4,7,0.9464,0,0,0
4,8,0.9497,0,0,0
4,9,0.9510,0,0,0
4,10,0.9527,0,0,0
4,11,0.9569,0,0,0
4,12,0.9587,0,0,0
4,13,0.9606,0,0,0
4,14,0.9622,0,0,0
4,15,0.9617,0,0,0
4,16,0.9617,0,0,0
4,17,0.9624,0,0,0
4,18,0.9644,0,0,0
4,19,0.9691,0,0,0
