training_exp,epoch,training_accuracy,val_accuracy,training_loss,val_loss
0,0,0.1200,0,0,0
0,1,0.1193,0,0,0
0,2,0.1197,0,0,0
0,3,0.1191,0,0,0
0,4,0.1203,0,0,0
0,5,0.1194,0,0,0
0,6,0.1191,0,0,0
0,7,0.1193,0,0,0
0,8,0.1194,0,0,0
0,9,0.1204,0,0,0
0,10,0.1197,0,0,0
0,11,0.1203,0,0,0
0,12,0.1198,0,0,0
0,13,0.1202,0,0,0
0,14,0.1188,0,0,0
0,15,0.1194,0,0,0
0,16,0.1200,0,0,0
0,17,0.1197,0,0,0
0,18,0.1205,0,0,0
0,19,0.1194,0,0,0
0,20,0.1186,0,0,0
0,21,0.1199,0,0,0
0,22,0.1206,0,0,0
0,23,0.1196,0,0,0
0,24,0.1201,0,0,0
0,25,0.1201,0,0,0
0,26,0.1197,0,0,0
0,27,0.1198,0,0,0
0,28,0.1201,0,0,0
0,29,0.1201,0,0,0
0,30,0.1200,0,0,0
0,31,0.1198,0,0,0
0,32,0.1196,0,0,0
0,33,0.1201,0,0,0
0,34,0.1208,0,0,0
0,35,0.1203,0,0,0
0,36,0.1209,0,0,0
0,37,0.1194,0,0,0
0,38,0.1196,0,0,0
0,39,0.1196,0,0,0
0,40,0.1202,0,0,0
0,41,0.1203,0,0,0
0,42,0.1194,0,0,0
0,43,0.1209,0,0,0
0,44,0.1203,0,0,0
0,45,0.1194,0,0,0
0,46,0.1203,0,0,0
0,47,0.1214,0,0,0
0,48,0.1189,0,0,0
0,49,0.1196,0,0,0
0,50,0.1196,0,0,0
0,51,0.1191,0,0,0
0,52,0.1193,0,0,0
0,53,0.1199,0,0,0
0,54,0.1201,0,0,0
0,55,0.1202,0,0,0
0,56,0.1200,0,0,0
0,57,0.1195,0,0,0
0,58,0.1206,0,0,0
0,59,0.1203,0,0,0
0,60,0.1197,0,0,0
