training_exp,epoch,training_accuracy,val_accuracy,training_loss,val_loss
0,0,0.0989,0,0,0
0,1,0.1207,0,0,0
0,2,0.1510,0,0,0
0,3,0.1788,0,0,0
0,4,0.2019,0,0,0
0,5,0.2454,0,0,0
0,6,0.2584,0,0,0
0,7,0.3116,0,0,0
0,8,0.3434,0,0,0
0,9,0.3672,0,0,0
0,10,0.4023,0,0,0
0,11,0.4326,0,0,0
0,12,0.4685,0,0,0
0,13,0.4988,0,0,0
0,14,0.5206,0,0,0
0,15,0.5458,0,0,0
0,16,0.5689,0,0,0
0,17,0.5948,0,0,0
0,18,0.5987,0,0,0
0,19,0.6306,0,0,0
1,0,0.0025,0,0,0
1,1,0.0060,0,0,0
1,2,0.0116,0,0,0
1,3,0.0195,0,0,0
1,4,0.0296,0,0,0
1,5,0.0440,0,0,0
1,6,0.0641,0,0,0
1,7,0.0869,0,0,0
1,8,0.1220,0,0,0
1,9,0.1584,0,0,0
1,10,0.1893,0,0,0
1,11,0.2354,0,0,0
1,12,0.2935,0,0,0
1,13,0.3419,0,0,0
1,14,0.4022,0,0,0
1,15,0.4450,0,0,0
1,16,0.4959,0,0,0
1,17,0.5249,0,0,0
1,18,0.5973,0,0,0
1,19,0.6279,0,0,0
2,0,0.0050,0,0,0
2,1,0.0100,0,0,0
2,2,0.0191,0,0,0
2,3,0.0342,0,0,0
2,4,0.0546,0,0,0
2,5,0.0775,0,0,0
2,6,0.1189,0,0,0
2,7,0.1588,0,0,0
2,8,0.1929,0,0,0
2,9,0.2307,0,0,0
2,10,0.2935,0,0,0
2,11,0.3753,0,0,0
2,12,0.4185,0,0,0
2,13,0.4581,0,0,0
2,14,0.4995,0,0,0
2,15,0.5545,0,0,0
2,16,0.5922,0,0,0
2,17,0.6199,0,0,0
2,18,0.6587,0,0,0
2,19,0.6984,0,0,0
3,0,0.0002,0,0,0
3,1,0.0003,0,0,0
3,2,0.0015,0,0,0
3,3,0.0024,0,0,0
3,4,0.0035,0,0,0
3,5,0.0066,0,0,0
3,6,0.0124,0,0,0
3,7,0.0193,0,0,0
3,8,0.0279,0,0,0
3,9,0.0391,0,0,0
3,10,0.0568,0,0,0
3,11,0.0766,0,0,0
3,12,0.1073,0,0,0
3,13,0.1330,0,0,0
3,14,0.1775,0,0,0
3,15,0.2159,0,0,0
3,16,0.2663,0,0,0
3,17,0.3173,0,0,0
3,18,0.3452,0,0,0
3,19,0.3955,0,0,0
4,0,0.0027,0,0,0
4,1,0.0051,0,0,0
4,2,0.0112,0,0,0
4,3,0.0148,0,0,0
4,4,0.0271,0,0,0
4,5,0.0361,0,0,0
4,6,0.0524,0,0,0
4,7,0.0775,0,0,0
4,8,0.1029,0,0,0
4,9,0.1325,0,0,0
4,10,0.1706,0,0,0
4,11,0.2224,0,0,0
4,12,0.2585,0,0,0
4,13,0.3056,0,0,0
4,14,0.3499,0,0,0
4,15,0.4035,0,0,0
4,16,0.4588,0,0,0
4,17,0.4811,0,0,0
4,18,0.5353,0,0,0
4,19,0.5722,0,0,0
