training_exp,epoch,training_accuracy,val_accuracy,training_loss,val_loss
0,0,0.3377,0,0,0
0,1,0.6528,0,0,0
0,2,0.7287,0,0,0
0,3,0.7908,0,0,0
0,4,0.8373,0,0,0
0,5,0.8814,0,0,0
0,6,0.9082,0,0,0
0,7,0.9317,0,0,0
0,8,0.9467,0,0,0
0,9,0.9531,0,0,0
0,10,0.9660,0,0,0
0,11,0.9677,0,0,0
0,12,0.9712,0,0,0
0,13,0.9738,0,0,0
0,14,0.9759,0,0,0
0,15,0.9792,0,0,0
0,16,0.9799,0,0,0
0,17,0.9799,0,0,0
0,18,0.9827,0,0,0
0,19,0.9831,0,0,0
1,0,0.0010,0,0,0
1,1,0.3115,0,0,0
1,2,0.6598,0,0,0
1,3,0.7279,0,0,0
1,4,0.7822,0,0,0
1,5,0.8181,0,0,0
1,6,0.8488,0,0,0
1,7,0.8770,0,0,0
1,8,0.8941,0,0,0
1,9,0.9065,0,0,0
1,10,0.9164,0,0,0
1,11,0.9252,0,0,0
1,12,0.9332,0,0,0
1,13,0.9356,0,0,0
1,14,0.9406,0,0,0
1,15,0.9431,0,0,0
1,16,0.9466,0,0,0
1,17,0.9485,0,0,0
1,18,0.9520,0,0,0
1,19,0.9556,0,0,0
2,0,0.0000,0,0,0
2,1,0.1717,0,0,0
2,2,0.6330,0,0,0
2,3,0.7584,0,0,0
2,4,0.7965,0,0,0
2,5,0.8306,0,0,0
2,6,0.8458,0,0,0
2,7,0.8690,0,0,0
2,8,0.8794,0,0,0
2,9,0.8953,0,0,0
2,10,0.8994,0,0,0
2,11,0.9069,0,0,0
2,12,0.9123,0,0,0
2,13,0.9174,0,0,0
2,14,0.9208,0,0,0
2,15,0.9246,0,0,0
2,16,0.9241,0,0,0
2,17,0.9308,0,0,0
2,18,0.9313,0,0,0
2,19,0.9314,0,0,0
3,0,0.0003,0,0,0
3,1,0.1480,0,0,0
3,2,0.6684,0,0,0
3,3,0.8308,0,0,0
3,4,0.8648,0,0,0
3,5,0.8867,0,0,0
3,6,0.9034,0,0,0
3,7,0.9083,0,0,0
3,8,0.9191,0,0,0
3,9,0.9171,0,0,0
3,10,0.9301,0,0,0
3,11,0.9285,0,0,0
3,12,0.9407,0,0,0
3,13,0.9402,0,0,0
3,14,0.9424,0,0,0
3,15,0.9450,0,0,0
3,16,0.9471,0,0,0
3,17,0.9493,0,0,0
3,18,0.9489,0,0,0
3,19,0.9504,0,0,0
4,0,0.0010,0,0,0
4,1,0.2596,0,0,0
4,2,0.6541,0,0,0
4,3,0.7388,0,0,0
4,4,0.7905,0,0,0
4,5,0.8211,0,0,0
4,6,0.8549,0,0,0
4,7,0.8746,0,0,0
4,8,0.8845,0,0,0
4,9,0.8998,0,0,0
4,10,0.9074,0,0,0
4,11,0.9181,0,0,0
4,12,0.9237,0,0,0
4,13,0.9277,0,0,0
4,14,0.9327,0,0,0
4,15,0.9374,0,0,0
4,16,0.9383,0,0,0
4,17,0.9426,0,0,0
4,18,0.9455,0,0,0
4,19,0.9482,0,0,0
