training_exp,epoch,training_accuracy,val_accuracy,training_loss,val_loss
0,0,0.7051,0,0,0
0,1,0.9154,0,0,0
0,2,0.9460,0,0,0
0,3,0.9554,0,0,0
0,4,0.9619,0,0,0
0,5,0.9628,0,0,0
0,6,0.9649,0,0,0
0,7,0.9669,0,0,0
0,8,0.9697,0,0,0
0,9,0.9689,0,0,0
0,10,0.9728,0,0,0
0,11,0.9718,0,0,0
0,12,0.9736,0,0,0
0,13,0.9738,0,0,0
0,14,0.9750,0,0,0
0,15,0.9768,0,0,0
0,16,0.9760,0,0,0
0,17,0.9750,0,0,0
0,18,0.9779,0,0,0
0,19,0.9777,0,0,0
1,0,0.5307,0,0,0
1,1,0.9391,0,0,0
1,2,0.9634,0,0,0
1,3,0.9743,0,0,0
1,4,0.9765,0,0,0
1,5,0.9819,0,0,0
1,6,0.9806,0,0,0
1,7,0.9834,0,0,0
1,8,0.9846,0,0,0
1,9,0.9859,0,0,0
1,10,0.9876,0,0,0
1,11,0.9873,0,0,0
1,12,0.9871,0,0,0
1,13,0.9896,0,0,0
1,14,0.9895,0,0,0
1,15,0.9900,0,0,0
1,16,0.9900,0,0,0
1,17,0.9899,0,0,0
1,18,0.9922,0,0,0
1,19,0.9911,0,0,0
2,0,0.4319,0,0,0
2,1,0.9221,0,0,0
2,2,0.9541,0,0,0
2,3,0.9654,0,0,0
2,4,0.9724,0,0,0
2,5,0.9765,0,0,0
2,6,0.9769,0,0,0
2,7,0.9809,0,0,0
2,8,0.9802,0,0,0
2,9,0.9815,0,0,0
2,10,0.9821,0,0,0
2,11,0.9837,0,0,0
2,12,0.9848,0,0,0
2,13,0.9850,0,0,0
2,14,0.9857,0,0,0
2,15,0.9852,0,0,0
2,16,0.9868,0,0,0
2,17,0.9866,0,0,0
2,18,0.9856,0,0,0
2,19,0.9877,0,0,0
3,0,0.2259,0,0,0
3,1,0.7062,0,0,0
3,2,0.8084,0,0,0
3,3,0.8725,0,0,0
3,4,0.9040,0,0,0
3,5,0.9207,0,0,0
3,6,0.9319,0,0,0
3,7,0.9400,0,0,0
3,8,0.9392,0,0,0
3,9,0.9433,0,0,0
3,10,0.9472,0,0,0
3,11,0.9485,0,0,0
3,12,0.9497,0,0,0
3,13,0.9539,0,0,0
3,14,0.9534,0,0,0
3,15,0.9578,0,0,0
3,16,0.9583,0,0,0
3,17,0.9586,0,0,0
3,18,0.9601,0,0,0
3,19,0.9604,0,0,0
4,0,0.3543,0,0,0
4,1,0.9739,0,0,0
4,2,0.9821,0,0,0
4,3,0.9863,0,0,0
4,4,0.9878,0,0,0
4,5,0.9899,0,0,0
4,6,0.9910,0,0,0
4,7,0.9917,0,0,0
4,8,0.9926,0,0,0
4,9,0.9927,0,0,0
4,10,0.9938,0,0,0
4,11,0.9934,0,0,0
4,12,0.9949,0,0,0
4,13,0.9946,0,0,0
4,14,0.9944,0,0,0
4,15,0.9949,0,0,0
4,16,0.9952,0,0,0
4,17,0.9958,0,0,0
4,18,0.9963,0,0,0
4,19,0.9953,0,0,0
