training_exp,epoch,training_accuracy,val_accuracy,training_loss,val_loss
0,0,0.8222,0,0,0
0,1,0.9635,0,0,0
0,2,0.9733,0,0,0
0,3,0.9776,0,0,0
0,4,0.9822,0,0,0
0,5,0.9830,0,0,0
0,6,0.9851,0,0,0
0,7,0.9861,0,0,0
0,8,0.9878,0,0,0
0,9,0.9877,0,0,0
0,10,0.9884,0,0,0
0,11,0.9885,0,0,0
0,12,0.9888,0,0,0
0,13,0.9889,0,0,0
0,14,0.9903,0,0,0
0,15,0.9907,0,0,0
0,16,0.9900,0,0,0
0,17,0.9912,0,0,0
0,18,0.9915,0,0,0
0,19,0.9909,0,0,0
1,0,0.4751,0,0,0
1,1,0.9287,0,0,0
1,2,0.9611,0,0,0
1,3,0.9663,0,0,0
1,4,0.9689,0,0,0
1,5,0.9735,0,0,0
1,6,0.9766,0,0,0
1,7,0.9752,0,0,0
1,8,0.9787,0,0,0
1,9,0.9768,0,0,0
1,10,0.9776,0,0,0
1,11,0.9781,0,0,0
1,12,0.9798,0,0,0
1,13,0.9793,0,0,0
1,14,0.9805,0,0,0
1,15,0.9798,0,0,0
1,16,0.9803,0,0,0
1,17,0.9812,0,0,0
1,18,0.9812,0,0,0
1,19,0.9803,0,0,0
2,0,0.5353,0,0,0
2,1,0.7843,0,0,0
2,2,0.8466,0,0,0
2,3,0.8753,0,0,0
2,4,0.8900,0,0,0
2,5,0.9014,0,0,0
2,6,0.9089,0,0,0
2,7,0.9147,0,0,0
2,8,0.9135,0,0,0
2,9,0.9201,0,0,0
2,10,0.9220,0,0,0
2,11,0.9252,0,0,0
2,12,0.9282,0,0,0
2,13,0.9289,0,0,0
2,14,0.9269,0,0,0
2,15,0.9322,0,0,0
2,16,0.9286,0,0,0
2,17,0.9324,0,0,0
2,18,0.9353,0,0,0
2,19,0.9352,0,0,0
3,0,0.6698,0,0,0
3,1,0.8758,0,0,0
3,2,0.9059,0,0,0
3,3,0.9209,0,0,0
3,4,0.9268,0,0,0
3,5,0.9284,0,0,0
3,6,0.9367,0,0,0
3,7,0.9379,0,0,0
3,8,0.9422,0,0,0
3,9,0.9417,0,0,0
3,10,0.9466,0,0,0
3,11,0.9445,0,0,0
3,12,0.9456,0,0,0
3,13,0.9465,0,0,0
3,14,0.9491,0,0,0
3,15,0.9485,0,0,0
3,16,0.9518,0,0,0
3,17,0.9521,0,0,0
3,18,0.9503,0,0,0
3,19,0.9537,0,0,0
4,0,0.8191,0,0,0
4,1,0.9592,0,0,0
4,2,0.9724,0,0,0
4,3,0.9724,0,0,0
4,4,0.9743,0,0,0
4,5,0.9776,0,0,0
4,6,0.9768,0,0,0
4,7,0.9777,0,0,0
4,8,0.9788,0,0,0
4,9,0.9791,0,0,0
4,10,0.9799,0,0,0
4,11,0.9802,0,0,0
4,12,0.9796,0,0,0
4,13,0.9811,0,0,0
4,14,0.9798,0,0,0
4,15,0.9815,0,0,0
4,16,0.9811,0,0,0
4,17,0.9833,0,0,0
4,18,0.9808,0,0,0
4,19,0.9804,0,0,0
