training_exp,epoch,training_accuracy,val_accuracy,training_loss,val_loss
0,0,0.7248,0,0,0
0,1,0.9562,0,0,0
0,2,0.9809,0,0,0
0,3,0.9871,0,0,0
0,4,0.9895,0,0,0
0,5,0.9901,0,0,0
0,6,0.9914,0,0,0
0,7,0.9914,0,0,0
0,8,0.9928,0,0,0
0,9,0.9946,0,0,0
0,10,0.9933,0,0,0
0,11,0.9951,0,0,0
0,12,0.9935,0,0,0
0,13,0.9954,0,0,0
0,14,0.9938,0,0,0
0,15,0.9951,0,0,0
0,16,0.9944,0,0,0
0,17,0.9953,0,0,0
0,18,0.9949,0,0,0
0,19,0.9954,0,0,0
1,0,0.5489,0,0,0
1,1,0.9148,0,0,0
1,2,0.9502,0,0,0
1,3,0.9610,0,0,0
1,4,0.9675,0,0,0
1,5,0.9722,0,0,0
1,6,0.9725,0,0,0
1,7,0.9763,0,0,0
1,8,0.9765,0,0,0
1,9,0.9773,0,0,0
1,10,0.9784,0,0,0
1,11,0.9809,0,0,0
1,12,0.9808,0,0,0
1,13,0.9817,0,0,0
1,14,0.9829,0,0,0
1,15,0.9827,0,0,0
1,16,0.9841,0,0,0
1,17,0.9837,0,0,0
1,18,0.9846,0,0,0
1,19,0.9850,0,0,0
2,0,0.4128,0,0,0
2,1,0.8794,0,0,0
2,2,0.9187,0,0,0
2,3,0.9348,0,0,0
2,4,0.9423,0,0,0
2,5,0.9485,0,0,0
2,6,0.9543,0,0,0
2,7,0.9538,0,0,0
2,8,0.9596,0,0,0
2,9,0.9605,0,0,0
2,10,0.9624,0,0,0
2,11,0.9616,0,0,0
2,12,0.9634,0,0,0
2,13,0.9641,0,0,0
2,14,0.9661,0,0,0
2,15,0.9665,0,0,0
2,16,0.9669,0,0,0
2,17,0.9677,0,0,0
2,18,0.9693,0,0,0
2,19,0.9700,0,0,0
3,0,0.3548,0,0,0
3,1,0.8982,0,0,0
3,2,0.9398,0,0,0
3,3,0.9511,0,0,0
3,4,0.9585,0,0,0
3,5,0.9650,0,0,0
3,6,0.9655,0,0,0
3,7,0.9674,0,0,0
3,8,0.9705,0,0,0
3,9,0.9722,0,0,0
3,10,0.9725,0,0,0
3,11,0.9742,0,0,0
3,12,0.9749,0,0,0
3,13,0.9757,0,0,0
3,14,0.9782,0,0,0
3,15,0.9772,0,0,0
3,16,0.9800,0,0,0
3,17,0.9782,0,0,0
3,18,0.9790,0,0,0
3,19,0.9788,0,0,0
4,0,0.3761,0,0,0
4,1,0.8734,0,0,0
4,2,0.9332,0,0,0
4,3,0.9524,0,0,0
4,4,0.9587,0,0,0
4,5,0.9660,0,0,0
4,6,0.9688,0,0,0
4,7,0.9731,0,0,0
4,8,0.9736,0,0,0
4,9,0.9783,0,0,0
4,10,0.9777,0,0,0
4,11,0.9797,0,0,0
4,12,0.9804,0,0,0
4,13,0.9814,0,0,0
4,14,0.9827,0,0,0
4,15,0.9828,0,0,0
4,16,0.9835,0,0,0
4,17,0.9840,0,0,0
4,18,0.9832,0,0,0
4,19,0.9845,0,0,0
