training_exp,epoch,training_accuracy,val_accuracy,training_loss,val_loss
0,0,0.5452,0,0,0
0,1,0.7188,0,0,0
0,2,0.8196,0,0,0
0,3,0.8767,0,0,0
0,4,0.9053,0,0,0
0,5,0.9221,0,0,0
0,6,0.9320,0,0,0
0,7,0.9362,0,0,0
0,8,0.9415,0,0,0
0,9,0.9446,0,0,0
0,10,0.9494,0,0,0
0,11,0.9516,0,0,0
0,12,0.9531,0,0,0
0,13,0.9530,0,0,0
0,14,0.9553,0,0,0
0,15,0.9583,0,0,0
0,16,0.9582,0,0,0
0,17,0.9599,0,0,0
0,18,0.9606,0,0,0
0,19,0.9581,0,0,0
1,0,0.3940,0,0,0
1,1,0.8590,0,0,0
1,2,0.9200,0,0,0
1,3,0.9399,0,0,0
1,4,0.9523,0,0,0
1,5,0.9590,0,0,0
1,6,0.9604,0,0,0
1,7,0.9650,0,0,0
1,8,0.9675,0,0,0
1,9,0.9689,0,0,0
1,10,0.9700,0,0,0
1,11,0.9699,0,0,0
1,12,0.9728,0,0,0
1,13,0.9749,0,0,0
1,14,0.9748,0,0,0
1,15,0.9750,0,0,0
1,16,0.9749,0,0,0
1,17,0.9735,0,0,0
1,18,0.9767,0,0,0
1,19,0.9773,0,0,0
2,0,0.3258,0,0,0
2,1,0.8866,0,0,0
2,2,0.9248,0,0,0
2,3,0.9398,0,0,0
2,4,0.9475,0,0,0
2,5,0.9520,0,0,0
2,6,0.9553,0,0,0
2,7,0.9576,0,0,0
2,8,0.9600,0,0,0
2,9,0.9597,0,0,0
2,10,0.9623,0,0,0
2,11,0.9633,0,0,0
2,12,0.9644,0,0,0
2,13,0.9659,0,0,0
2,14,0.9650,0,0,0
2,15,0.9660,0,0,0
2,16,0.9679,0,0,0
2,17,0.9701,0,0,0
2,18,0.9695,0,0,0
2,19,0.9705,0,0,0
3,0,0.2580,0,0,0
3,1,0.9489,0,0,0
3,2,0.9747,0,0,0
3,3,0.9817,0,0,0
3,4,0.9843,0,0,0
3,5,0.9857,0,0,0
3,6,0.9886,0,0,0
3,7,0.9902,0,0,0
3,8,0.9896,0,0,0
3,9,0.9903,0,0,0
3,10,0.9906,0,0,0
3,11,0.9920,0,0,0
3,12,0.9934,0,0,0
3,13,0.9937,0,0,0
3,14,0.9938,0,0,0
3,15,0.9934,0,0,0
3,16,0.9943,0,0,0
3,17,0.9947,0,0,0
3,18,0.9953,0,0,0
3,19,0.9947,0,0,0
4,0,0.1568,0,0,0
4,1,0.8640,0,0,0
4,2,0.9303,0,0,0
4,3,0.9510,0,0,0
4,4,0.9572,0,0,0
4,5,0.9636,0,0,0
4,6,0.9649,0,0,0
4,7,0.9674,0,0,0
4,8,0.9701,0,0,0
4,9,0.9710,0,0,0
4,10,0.9735,0,0,0
4,11,0.9743,0,0,0
4,12,0.9741,0,0,0
4,13,0.9750,0,0,0
4,14,0.9753,0,0,0
4,15,0.9759,0,0,0
4,16,0.9780,0,0,0
4,17,0.9774,0,0,0
4,18,0.9787,0,0,0
4,19,0.9787,0,0,0
