2023-08-30 12:49:37,122 INFO    MainThread:853047 [wandb_setup.py:_flush():76] Current SDK version is 0.15.9
2023-08-30 12:49:37,123 INFO    MainThread:853047 [wandb_setup.py:_flush():76] Configure stats pid to 853047
2023-08-30 12:49:37,123 INFO    MainThread:853047 [wandb_setup.py:_flush():76] Loading settings from /root/.config/wandb/settings
2023-08-30 12:49:37,123 INFO    MainThread:853047 [wandb_setup.py:_flush():76] Loading settings from /tf/notebooks/RL Experiments/wandb/settings
2023-08-30 12:49:37,123 INFO    MainThread:853047 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-08-30 12:49:37,123 INFO    MainThread:853047 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-08-30 12:49:37,123 INFO    MainThread:853047 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'main.py', 'program': 'main.py'}
2023-08-30 12:49:37,123 INFO    MainThread:853047 [wandb_init.py:_log_setup():524] Logging user logs to /tf/notebooks/RL Experiments/wandb/run-20230830_124937-ji0vt6gv/logs/debug.log
2023-08-30 12:49:37,123 INFO    MainThread:853047 [wandb_init.py:_log_setup():525] Logging internal logs to /tf/notebooks/RL Experiments/wandb/run-20230830_124937-ji0vt6gv/logs/debug-internal.log
2023-08-30 12:49:37,123 INFO    MainThread:853047 [wandb_init.py:init():564] calling init triggers
2023-08-30 12:49:37,123 INFO    MainThread:853047 [wandb_init.py:init():571] wandb.init called with sweep_config: {}
config: {}
2023-08-30 12:49:37,123 INFO    MainThread:853047 [wandb_init.py:init():613] starting backend
2023-08-30 12:49:37,123 INFO    MainThread:853047 [wandb_init.py:init():617] setting up manager
2023-08-30 12:49:37,124 INFO    MainThread:853047 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-08-30 12:49:37,125 INFO    MainThread:853047 [wandb_init.py:init():623] backend started and connected
2023-08-30 12:49:37,128 INFO    MainThread:853047 [wandb_init.py:init():714] updated telemetry
2023-08-30 12:49:37,141 INFO    MainThread:853047 [wandb_init.py:init():747] communicating run to backend with 60.0 second timeout
2023-08-30 12:49:37,497 INFO    MainThread:853047 [wandb_run.py:_on_init():2180] communicating current version
2023-08-30 12:49:37,540 INFO    MainThread:853047 [wandb_run.py:_on_init():2189] got version response 
2023-08-30 12:49:37,540 INFO    MainThread:853047 [wandb_init.py:init():798] starting run threads in backend
2023-08-30 12:49:37,636 INFO    MainThread:853047 [wandb_run.py:_console_start():2159] atexit reg
2023-08-30 12:49:37,636 INFO    MainThread:853047 [wandb_run.py:_redirect():2014] redirect: wrap_raw
2023-08-30 12:49:37,636 INFO    MainThread:853047 [wandb_run.py:_redirect():2079] Wrapping output streams.
2023-08-30 12:49:37,636 INFO    MainThread:853047 [wandb_run.py:_redirect():2104] Redirects installed.
2023-08-30 12:49:37,637 INFO    MainThread:853047 [wandb_init.py:init():839] run started, returning control to user process
2023-08-30 12:49:46,758 WARNING MsgRouterThr:853047 [router.py:message_loop():77] message_loop has been closed
