training_exp,epoch,training_accuracy,val_accuracy,training_loss,val_loss
0,0,0.2517,0,0,0
0,1,0.6282,0,0,0
0,2,0.7158,0,0,0
0,3,0.7518,0,0,0
0,4,0.8043,0,0,0
0,5,0.8391,0,0,0
0,6,0.8699,0,0,0
0,7,0.8918,0,0,0
0,8,0.9063,0,0,0
0,9,0.9228,0,0,0
0,10,0.9270,0,0,0
0,11,0.9363,0,0,0
0,12,0.9448,0,0,0
0,13,0.9458,0,0,0
0,14,0.9496,0,0,0
0,15,0.9534,0,0,0
0,16,0.9550,0,0,0
0,17,0.9587,0,0,0
0,18,0.9610,0,0,0
0,19,0.9637,0,0,0
1,0,0.0002,0,0,0
1,1,0.2356,0,0,0
1,2,0.7488,0,0,0
1,3,0.9106,0,0,0
1,4,0.9367,0,0,0
1,5,0.9493,0,0,0
1,6,0.9600,0,0,0
1,7,0.9628,0,0,0
1,8,0.9660,0,0,0
1,9,0.9706,0,0,0
1,10,0.9709,0,0,0
1,11,0.9725,0,0,0
1,12,0.9762,0,0,0
1,13,0.9764,0,0,0
1,14,0.9785,0,0,0
1,15,0.9789,0,0,0
1,16,0.9798,0,0,0
1,17,0.9809,0,0,0
1,18,0.9804,0,0,0
1,19,0.9804,0,0,0
2,0,0.0059,0,0,0
2,1,0.4126,0,0,0
2,2,0.8491,0,0,0
